id,country,team,strategy 2,strategy 1,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
1,АВСТРИЯ: 2. Liga,Аустрия Клагенфурт - ЛАСК Юниорс,"{'АУСТРИЯ КЛАГЕНФУРТ': 5, 'ЛАСК ЮНИОРС': 5}","{'АУСТРИЯ КЛАГЕНФУРТ': 2.08, 'ЛАСК ЮНИОРС': 4.33}",29.03.2019 20:10,https://www.myscore.com.ua/match/2JRmroK4/#match-summary
2,АНГЛИЯ: Чемпионшип,Вест Бромвич - Бирмингем,"{'ВЕСТ БРОМВИЧ': 5, 'БИРМИНГЕМ': 5}","{'ВЕСТ БРОМВИЧ': 0.67, 'БИРМИНГЕМ': 1.0}",29.03.2019 22:00,https://www.myscore.com.ua/match/WdYzFLUD/#match-summary
3,БРАЗИЛИЯ: Чемпионат Паулиста - Трофей Интериор - плей-офф,Гуарани - Мирассол,"{'ГУАРАНИ': 2, 'МИРАССОЛ': 3}","{'ГУАРАНИ': 2.25, 'МИРАССОЛ': 1.0}",29.03.2019 00:15,https://www.myscore.com.ua/match/2DEHrxaB/#match-summary
4,ГИБРАЛТАР: Премьер-Дивизион,ФК Европа - Гибралтар Феникс,"{'ФК ЕВРОПА': 7, 'ГИБРАЛТАР ФЕНИКС': 5}","{'ФК ЕВРОПА': 0.37, 'ГИБРАЛТАР ФЕНИКС': 0.27}",29.03.2019 21:30,https://www.myscore.com.ua/match/CI6nfgVS/#match-summary
5,ДАНИЯ: Суперлига - Чемпионшип - плей-офф,Брённбю - Оденсе,"{'БРЁННБЮ': 6, 'ОДЕНСЕ': 7}","{'БРЁННБЮ': 1.0, 'ОДЕНСЕ': 0.55}",29.03.2019 20:00,https://www.myscore.com.ua/match/YsU60lQg/#match-summary
6,КОЛУМБИЯ: Примера - Апертура,Кукута - Медельин,"{'КУКУТА': 7, 'МЕДЕЛЬИН': 6}","{'КУКУТА': 1.75, 'МЕДЕЛЬИН': 0.5}",29.03.2019 01:00,https://www.myscore.com.ua/match/Q5jItw65/#match-summary
7,КОСТА-РИКА: Высший дивизион - Клаусура,Ю.К.Р. - Эредиано,"{'Ю.К.Р.': 4, 'ЭРЕДИАНО': 8}","{'Ю.К.Р.': 3.67, 'ЭРЕДИАНО': 0.75}",29.03.2019 03:00,https://www.myscore.com.ua/match/lpcRO4Ah/#match-summary
8,МАЛАЙЗИЯ: Суперлига,Селангор - Теренггану,"{'СЕЛАНГОР': 5, 'ТЕРЕНГГАНУ': 3}","{'СЕЛАНГОР': 0.67, 'ТЕРЕНГГАНУ': 0.39}",29.03.2019 15:00,https://www.myscore.com.ua/match/2cbmy2T3/#match-summary
9,МАЛЬТА: Премьер-лига,Хамрун - Корми,"{'ХАМРУН': 6, 'КОРМИ': 4}","{'ХАМРУН': 0.62, 'КОРМИ': 0.25}",29.03.2019 20:00,https://www.myscore.com.ua/match/IycLQ4D1/#match-summary
10,МИР: Клубные товарищеские матчи,Аскер (Нор) - Мосс (Нор),"{'АСКЕР': 6, 'МОСС': 7}","{'АСКЕР': 0.25, 'МОСС': 1.75}",29.03.2019 19:30,https://www.myscore.com.ua/match/xQqmWcwn/#match-summary
