id,country,team,strategy 2,strategy 1,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
1,ЕВРОПА: Лига чемпионов - Плей-офф,Реал Мадрид - Аякс,"{'РЕАЛ МАДРИД': 7, 'АЯКС': 7}","{'РЕАЛ МАДРИД': 0.56, 'АЯКС': 0.29}",05.03.2019 22:00,https://www.myscore.com.ua/match/OCjJsr4J/#match-summary
2,АЗИЯ: Лига чемпионов,Аль-Ахли (Сау) - Аль-Садд (Кат),"{'АЛЬ-АХЛИ': 5, 'АЛЬ-САДД': 8}","{'АЛЬ-АХЛИ': 0.79, 'АЛЬ-САДД': 1.62}",05.03.2019 19:15,https://www.myscore.com.ua/match/MsT6PqVt/#match-summary
3,АНГЛИЯ: Вторая лига,Челтенхэм - Бьюри,"{'ЧЕЛТЕНХЭМ': 3, 'БЬЮРИ': 5}","{'ЧЕЛТЕНХЭМ': 1.25, 'БЬЮРИ': 2.75}",05.03.2019 21:45,https://www.myscore.com.ua/match/Ekk2BOvL/#match-summary
4,ВЬЕТНАМ: Лига V,Хошимин - Нам Дин,"{'ХОШИМИН': 5, 'НАМ ДИН': 3}","{'ХОШИМИН': 1.25, 'НАМ ДИН': 1.0}",05.03.2019 14:00,https://www.myscore.com.ua/match/YZiyMRWH/#match-summary
5,КУВЕЙТ: Премьер-лига,Аль-Сальмия - Аль-Фахахеел,"{'АЛЬ-САЛЬМИЯ': 6, 'АЛЬ-ФАХАХЕЕЛ': 2}","{'АЛЬ-САЛЬМИЯ': 0.45, 'АЛЬ-ФАХАХЕЕЛ': 3.67}",05.03.2019 16:05,https://www.myscore.com.ua/match/zu26Bawi/#match-summary
