id,country,team,strategy 2,strategy 1,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
1,АНГЛИЯ: Вторая лига,Ньюпорт - Челтенхэм,"{'НЬЮПОРТ': 3, 'ЧЕЛТЕНХЭМ': 4}","{'НЬЮПОРТ': 2.25, 'ЧЕЛТЕНХЭМ': 4.25}",15.03.2019 21:45,https://www.myscore.com.ua/match/xOQwpOdL/#match-summary,No,0,0,"{'Ньюпорт': 0, 'Челтенхэм': 0}","{'Ньюпорт': 0, 'Челтенхэм': 0}"
3,КАТАР: Премьер-лига,Аль-Раян - Аль-Хор,"{'АЛЬ-РАЯН': 7, 'АЛЬ-ХОР': 5}","{'АЛЬ-РАЯН': 1.83, 'АЛЬ-ХОР': 1.92}",15.03.2019 16:00,https://www.myscore.com.ua/match/dluwvbNi/#match-summary,Yes,Аль-Раян,1,"{'Аль-Раян': 1, 'Аль-Хор': 0}","{'Аль-Раян': 1, 'Аль-Хор': 0}"
4,ЛАТВИЯ: Optibet Virsliga,Метта/ЛУ - ФК Рига,"{'МЕТТА/ЛУ': 5, 'ФК РИГА': 5}","{'МЕТТА/ЛУ': 1.7, 'ФК РИГА': 0.75}",15.03.2019 18:00,https://www.myscore.com.ua/match/zqIIIy9d/#match-summary,Yes,Метта/ЛУ,3,"{'Метта/ЛУ': 1, 'ФК Рига': 1}","{'Метта/ЛУ': 1, 'ФК Рига': 2}"
5,МИР: Клубные товарищеские матчи,Бранн (Нор) - Будё/Глимт (Нор),"{'БРАНН': 5, 'БУДЁ/ГЛИМТ': 8}","{'БРАНН': 1.14, 'БУДЁ/ГЛИМТ': 1.25}",15.03.2019 14:00,https://www.myscore.com.ua/match/2qTc3qGU/#match-summary,Yes,Будё/Глимт (Нор),2,"{'Бранн (Нор)': 0, 'Будё/Глимт (Нор)': 1}","{'Бранн (Нор)': 0, 'Будё/Глимт (Нор)': 2}"
6,НИДЕРЛАНДЫ: Первый дивизион,Дордрехт - Рода,"{'ДОРДРЕХТ': 5, 'РОДА': 8}","{'ДОРДРЕХТ': 1.67, 'РОДА': 0.77}",15.03.2019 21:00,https://www.myscore.com.ua/match/via4QiIt/#match-summary,Yes,Дордрехт,5,"{'Дордрехт': 1, 'Рода': 1}","{'Дордрехт': 3, 'Рода': 2}"
7,НИДЕРЛАНДЫ: Первый дивизион,Твенте - ФК Волендам,"{'ТВЕНТЕ': 7, 'ФК ВОЛЕНДАМ': 6}","{'ТВЕНТЕ': 0.6, 'ФК ВОЛЕНДАМ': 5.06}",15.03.2019 21:00,https://www.myscore.com.ua/match/vXGLKmnI/#match-summary,Yes,Твенте,5,"{'Твенте': 4, 'ФК Волендам': 0}","{'Твенте': 5, 'ФК Волендам': 0}"
8,НИДЕРЛАНДЫ: Первый дивизион,Хельмонд - Гоу Эхед Иглс,"{'ХЕЛЬМОНД': 2, 'ГОУ ЭХЕД ИГЛС': 6}","{'ХЕЛЬМОНД': 0.58, 'ГОУ ЭХЕД ИГЛС': 4.57}",15.03.2019 21:00,https://www.myscore.com.ua/match/Me6QJ71O/#match-summary,Yes,Гоу Эхед Иглс,2,"{'Хельмонд': 0, 'Гоу Эхед Иглс': 1}","{'Хельмонд': 1, 'Гоу Эхед Иглс': 1}"
9,ПОЛЬША: Первый дивизион,Тыхы 71 - Сталь Мелец,"{'ТЫХЫ 71': 2, 'СТАЛЬ МЕЛЕЦ': 7}","{'ТЫХЫ 71': 1.0, 'СТАЛЬ МЕЛЕЦ': 0.1}",15.03.2019 19:00,https://www.myscore.com.ua/match/zo7ugybI/#match-summary,Yes,Сталь Мелец,2,"{'Тыхы 71': 0, 'Сталь Мелец': 1}","{'Тыхы 71': 1, 'Сталь Мелец': 1}"
10,СЕВЕРНАЯ ИРЛАНДИЯ: Премьер-лига,Ньюри Сити - Колрейн,"{'НЬЮРИ СИТИ': 2, 'КОЛРЕЙН': 6}","{'НЬЮРИ СИТИ': 0.81, 'КОЛРЕЙН': 3.0}",15.03.2019 21:45,https://www.myscore.com.ua/match/MJlcObzN/#match-summary,Yes,Колрейн,5,"{'Ньюри Сити': 0, 'Колрейн': 1}","{'Ньюри Сити': 1, 'Колрейн': 3}"
11,СЛОВАКИЯ: Вторая лига,Погронье - Л. Микулас,"{'ПОГРОНЬЕ': 4, 'Л. МИКУЛАС': 7}","{'ПОГРОНЬЕ': 0.18, 'Л. МИКУЛАС': 1.3}",15.03.2019 19:00,https://www.myscore.com.ua/match/W6BRyO8l/#match-summary,Yes,Погронье,3,"{'Погронье': 1, 'Л. Микулас': 1}","{'Погронье': 2, 'Л. Микулас': 1}"
12,УЭЛЬС: Премьер-лига - Чемпионшип - плей-офф,Коннах Куэй - Ньютаун,"{'КОННАХ КУЭЙ': 7, 'НЬЮТАУН': 7}","{'КОННАХ КУЭЙ': 0.75, 'НЬЮТАУН': 1.33}",15.03.2019 21:45,https://www.myscore.com.ua/match/tvhToX4K/#match-summary,Yes,Коннах Куэй,2,"{'Коннах Куэй': 1, 'Ньютаун': 0}","{'Коннах Куэй': 2, 'Ньютаун': 0}"
13,ШВЕЙЦАРИЯ: Первая лига,Кринс - Вадуц,"{'КРИНС': 7, 'ВАДУЦ': 3}","{'КРИНС': 1.25, 'ВАДУЦ': 0.7}",15.03.2019 21:00,https://www.myscore.com.ua/match/xlAXHCCn/#match-summary,No,0,2,"{'Кринс': 0, 'Вадуц': 0}","{'Кринс': 1, 'Вадуц': 1}"
14,ЮЖНАЯ АФРИКА: Премьер,Кейптаун Сити - Полокване,"{'КЕЙПТАУН СИТИ': 3, 'ПОЛОКВАНЕ': 7}","{'КЕЙПТАУН СИТИ': 2.8, 'ПОЛОКВАНЕ': 0.6}",15.03.2019 20:00,https://www.myscore.com.ua/match/UPLS5lyD/#match-summary,No,0,0,"{'Кейптаун Сити': 0, 'Полокване': 0}","{'Кейптаун Сити': 0, 'Полокване': 0}"
