id,country,team,strategy 2,strategy 1,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
1,АНГЛИЯ: Вторая лига,Милтон Кинс - Йовил,"{'МИЛТОН КИНС': 4, 'ЙОВИЛ': 1}","{'МИЛТОН КИНС': 2.62, 'ЙОВИЛ': 2.1}",23.03.2019 17:00,https://www.myscore.com.ua/match/nukW9jFi/#match-summary,Yes,Милтон Кинс,2,"{'Милтон Кинс': 1, 'Йовил': 0}","{'Милтон Кинс': 2, 'Йовил': 0}"
2,ГРЕЦИЯ: Вторая лига,Керкира - Эрготелис,"{'КЕРКИРА': 0, 'ЭРГОТЕЛИС': 1}","{'КЕРКИРА': 1.0, 'ЭРГОТЕЛИС': 1.25}",23.03.2019 15:00,https://www.myscore.com.ua/match/6ocxt0zF/#match-summary,Yes,Керкира,3,"{'Керкира': 1, 'Эрготелис': 1}","{'Керкира': 2, 'Эрготелис': 1}"
3,МИР: Клубные товарищеские матчи,Локомотив Пловдив (Бог) - Берое (Бог),"{'ЛОКОМОТИВ ПЛОВДИВ': 4, 'БЕРОЕ': 6}","{'ЛОКОМОТИВ ПЛОВДИВ': 1.0, 'БЕРОЕ': 0.92}",23.03.2019 13:00,https://www.myscore.com.ua/match/KGVWzHRt/#match-summary,No,0,0,"{'Локомотив Пловдив (Бог)': 0, 'Берое (Бог)': 0}","{'Локомотив Пловдив (Бог)': 0, 'Берое (Бог)': 0}"
4,МИР: Клубные товарищеские матчи,Гётеборг (Шве) - Эргрюте (Шве),"{'ГЁТЕБОРГ': 4, 'ЭРГРЮТЕ': 8}","{'ГЁТЕБОРГ': 1.0, 'ЭРГРЮТЕ': 0.43}",23.03.2019 14:00,https://www.myscore.com.ua/match/f3yux9SF/#match-summary,No,0,1,"{'Гётеборг (Шве)': 0, 'Эргрюте (Шве)': 0}","{'Гётеборг (Шве)': 1, 'Эргрюте (Шве)': 0}"
5,МИР: Клубные товарищеские матчи,Эстер (Шве) - Кальмар (Шве),"{'ЭСТЕР': 4, 'КАЛЬМАР': 6}","{'ЭСТЕР': 3.0, 'КАЛЬМАР': 0.48}",23.03.2019 15:00,https://www.myscore.com.ua/match/p4zy1sTh/#match-summary,Yes,Эстер (Шве),3,"{'Эстер (Шве)': 1, 'Кальмар (Шве)': 2}","{'Эстер (Шве)': 1, 'Кальмар (Шве)': 2}"
6,НИДЕРЛАНДЫ: Второй дивизион,Козаккен Бойс - Эксельсиор Масслёйс,"{'КОЗАККЕН БОЙС': 4, 'ЭКСЕЛЬСИОР МАССЛЁЙС': 7}","{'КОЗАККЕН БОЙС': 1.08, 'ЭКСЕЛЬСИОР МАССЛЁЙС': 2.5}",23.03.2019 16:00,https://www.myscore.com.ua/match/ne1wEQS3/#match-summary,No,0,2,"{'Козаккен Бойс': 0, 'Эксельсиор Масслёйс': 0}","{'Козаккен Бойс': 0, 'Эксельсиор Масслёйс': 1}"
7,ПАРАГВАЙ: Первый дивизион - Апертура,Хенераль Диас - Спортиво Лукеньо,"{'ХЕНЕРАЛЬ ДИАС': 4, 'СПОРТИВО ЛУКЕНЬО': 5}","{'ХЕНЕРАЛЬ ДИАС': 0.83, 'СПОРТИВО ЛУКЕНЬО': 0.8}",23.03.2019 00:15,https://www.myscore.com.ua/match/rP137UAM/#match-summary,No,0,0,"{'Хенераль Диас': 0, 'Спортиво Лукеньо': 0}","{'Хенераль Диас': 0, 'Спортиво Лукеньо': 0}"
8,ПАРАГВАЙ: Первый дивизион - Апертура,Серро Портеньо - Гуарани,"{'СЕРРО ПОРТЕНЬО': 6, 'ГУАРАНИ': 5}","{'СЕРРО ПОРТЕНЬО': 0.27, 'ГУАРАНИ': 0.46}",23.03.2019 23:15,https://www.myscore.com.ua/match/d8aiAWQ3/#match-summary,Yes,Серро Портеньо,7,"{'Серро Портеньо': 3, 'Гуарани': 0}","{'Серро Портеньо': 5, 'Гуарани': 2}"
9,ПЕРУ: Liga 1 - Апертура,Аякучо - Альянса Лима,"{'АЯКУЧО': 5, 'АЛЬЯНСА ЛИМА': 4}","{'АЯКУЧО': 1.12, 'АЛЬЯНСА ЛИМА': 0.75}",23.03.2019 22:30,https://www.myscore.com.ua/match/OzZLUtaa/#match-summary,No,0,2,"{'Аякучо': 0, 'Альянса Лима': 0}","{'Аякучо': 1, 'Альянса Лима': 0}"
11,РОССИЯ: ПФЛ - Второй дивизион - Юг,Чайка - Спартак Владикавказ,"{'ЧАЙКА': 9, 'СПАРТАК ВЛАДИКАВКАЗ': 4}","{'ЧАЙКА': 0.56, 'СПАРТАК ВЛАДИКАВКАЗ': 2.05}",23.03.2019 15:00,https://www.myscore.com.ua/match/l83ataPJ/#match-summary,No,0,1,"{'Чайка': 0, 'Спартак Владикавказ': 0}","{'Чайка': 1, 'Спартак Владикавказ': 0}"
12,СЕВЕРНАЯ ИРЛАНДИЯ: Премьер-лига,Инститьют - Колрейн,"{'ИНСТИТЬЮТ': 2, 'КОЛРЕЙН': 6}","{'ИНСТИТЬЮТ': 1.22, 'КОЛРЕЙН': 8.25}",23.03.2019 15:00,https://www.myscore.com.ua/match/YcIFttji/#match-summary,No,0,1,"{'Инститьют': 0, 'Колрейн': 0}","{'Инститьют': 0, 'Колрейн': 0}"
13,СЕВЕРНАЯ ИРЛАНДИЯ: Премьер-лига,Баллимина - Уорренпоинт,"{'БАЛЛИМИНА': 6, 'УОРРЕНПОИНТ': 7}","{'БАЛЛИМИНА': 0.75, 'УОРРЕНПОИНТ': 0.38}",23.03.2019 17:00,https://www.myscore.com.ua/match/SdBOvKK3/#match-summary,Yes,Баллимина,3,"{'Баллимина': 1, 'Уорренпоинт': 1}","{'Баллимина': 1, 'Уорренпоинт': 2}"
14,СЕВЕРНАЯ ИРЛАНДИЯ: Премьер-лига,Ньюри Сити - Гленавон,"{'НЬЮРИ СИТИ': 2, 'ГЛЕНАВОН': 0}","{'НЬЮРИ СИТИ': 1.5, 'ГЛЕНАВОН': 0.2}",23.03.2019 19:30,https://www.myscore.com.ua/match/pYLJu05c/#match-summary,No,0,1,"{'Ньюри Сити': 0, 'Гленавон': 0}","{'Ньюри Сити': 0, 'Гленавон': 1}"
15,СЛОВАКИЯ: Вторая лига,Бардеёв - Погронье,"{'БАРДЕЁВ': 9, 'ПОГРОНЬЕ': 5}","{'БАРДЕЁВ': 0.9, 'ПОГРОНЬЕ': 0.5}",23.03.2019 16:00,https://www.myscore.com.ua/match/UPaJZhqI/#match-summary,Yes,Погронье,2,"{'Бардеёв': 0, 'Погронье': 1}","{'Бардеёв': 1, 'Погронье': 1}"
16,СЛОВАКИЯ: Вторая лига,Л. Микулас - Требишов,"{'Л. МИКУЛАС': 7, 'ТРЕБИШОВ': 2}","{'Л. МИКУЛАС': 1.7, 'ТРЕБИШОВ': 0.3}",23.03.2019 16:00,https://www.myscore.com.ua/match/OnaNYCbO/#match-summary,No,0,2,"{'Л. Микулас': 0, 'Требишов': 0}","{'Л. Микулас': 0, 'Требишов': 2}"
