id,strategy,country,team,point,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
0,2,АНГЛИЯ: Премьер-лига,Арсенал - Борнмут,"{'АРСЕНАЛ': 7, 'БОРНМУТ': 3}",27.02.2019 21:45,https://www.myscore.com.ua/match/8QouQVFi/#match-summary,,,,,
1,2,АНГЛИЯ: Премьер-лига,Манчестер Сити - Вест Хэм,"{'МАНЧЕСТЕР СИТИ': 8, 'ВЕСТ ХЭМ': 4}",27.02.2019 22:00,https://www.myscore.com.ua/match/nao50iz7/#match-summary,,,,,
2,2,АНГЛИЯ: Премьер-лига,Челси - Тоттенхэм,"{'ЧЕЛСИ': 4, 'ТОТТЕНХЭМ': 2}",27.02.2019 22:00,https://www.myscore.com.ua/match/IJgl4Zzr/#match-summary,,,,,
3,2,АВСТРАЛИЯ И ОКЕАНИЯ: Лига чемпионов Океании,Тупапа (Кук) - Окленд Сити (Нзл),"{'ТУПАПА': 5, 'ОКЛЕНД СИТИ': 6}",27.02.2019 04:00,https://www.myscore.com.ua/match/2opyufV8/#match-summary,,,,,
4,2,АВСТРАЛИЯ И ОКЕАНИЯ: Лига чемпионов Океании,Соломон Уорриорс (Сол) - Маджента (Нок),"{'СОЛОМОН УОРРИОРС': 6, 'МАДЖЕНТА': 8}",27.02.2019 07:00,https://www.myscore.com.ua/match/lSc2WaZA/#match-summary,,,,,
5,2,АЗИЯ: Кубок АФК - Квалификация - плей-офф,Ахал (Тур) - Алай Ош (Кир),"{'АХАЛ': 9, 'АЛАЙ ОШ': 9}",27.02.2019 15:00,https://www.myscore.com.ua/match/UR6ONDlk/#match-summary,,,,,
6,2,АЗИЯ: Кубок АФК,Лао Тойота (Лао) - Кая (Фил),"{'ЛАО ТОЙОТА': 5, 'КАЯ': 5}",27.02.2019 13:30,https://www.myscore.com.ua/match/d0qGS1iQ/#match-summary,,,,,
7,2,АНГЛИЯ: Southern League South Division,Тонтон - Суиндон С,"{'ТОНТОН': 7, 'СУИНДОН С': 6}",27.02.2019 21:45,https://www.myscore.com.ua/match/z9RbBZJk/#match-summary,,,,,
8,2,ГРЕЦИЯ: Кубок Греции - Плей-офф,Астерас - Эрготелис,"{'АСТЕРАС': 3, 'ЭРГОТЕЛИС': 3}",27.02.2019 17:15,https://www.myscore.com.ua/match/4GV4G6oQ/#match-summary,,,,,
9,2,ГРЕЦИЯ: Кубок Греции - Плей-офф,ПАОК - Паниониос,"{'ПАОК': 8, 'ПАНИОНИОС': 2}",27.02.2019 19:30,https://www.myscore.com.ua/match/QXQPh3gJ/#match-summary,,,,,
10,2,ИТАЛИЯ: Серия В,Венеция - Перуджа,"{'ВЕНЕЦИЯ': 2, 'ПЕРУДЖА': 3}",27.02.2019 20:00,https://www.myscore.com.ua/match/pzqPzbhh/#match-summary,,,,,
