id,strategy,country,team,point,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
1,2,ИСПАНИЯ: Примера,Реал Мадрид - Жирона,"{'РЕАЛ МАДРИД': 7, 'ЖИРОНА': 6}",17.02.2019 13:00,https://www.myscore.com.ua/match/zwux6UlL/#match-summary,,,,,
2,2,ФРАНЦИЯ: Первая лига,Кан - Страсбур,"{'КАН': 4, 'СТРАСБУР': 4}",17.02.2019 16:00,https://www.myscore.com.ua/match/UgaCqset/#match-summary,,,,,
3,2,ФРАНЦИЯ: Первая лига,Сент-Этьен - ПСЖ,"{'СЕНТ-ЭТЬЕН': 6, 'ПСЖ': 6}",17.02.2019 22:00,https://www.myscore.com.ua/match/Cb6YxcvO/#match-summary,,,,,
4,2,АВСТРАЛИЯ: Лига А,Сидней - Централ Кост Маринерс,"{'СИДНЕЙ': 6, 'ЦЕНТРАЛ КОСТ МАРИНЕРС': 7}",17.02.2019 08:00,https://www.myscore.com.ua/match/Wtp3rnTc/#match-summary,,,,,
5,2,АВСТРАЛИЯ: НПЛ Квинсленд,Олимпик ФК - Вестерн Прайд,"{'ОЛИМПИК ФК': 7, 'ВЕСТЕРН ПРАЙД': 6}",17.02.2019 10:00,https://www.myscore.com.ua/match/8bsVcb4Q/#match-summary,,,,,
6,2,АВСТРИЯ: Кубок Австрии,ЛАСК - Санкт-Пёльтен,"{'ЛАСК': 10, 'САНКТ-ПЁЛЬТЕН': 4}",16.02.2019 13:00,https://www.myscore.com.ua/match/tKZ4RYPr/#match-summary,,,,,
7,2,АНГЛИЯ: Чемпионшип,Блэкберн - Мидлсбро,"{'БЛЭКБЕРН': 3, 'МИДЛСБРО': 3}",17.02.2019 15:00,https://www.myscore.com.ua/match/GhQyCwdq/#match-summary,,,,,
8,2,АНГЛИЯ: Кубок ФА,Бристоль Сити - Вулверхэмптон,"{'БРИСТОЛЬ СИТИ': 3, 'ВУЛВЕРХЭМПТОН': 4}",17.02.2019 15:00,https://www.myscore.com.ua/match/WOj2vEQE/#match-summary,,,,,
9,2,ГЕРМАНИЯ: Северо-восточная региональная лига,Баутцен - Бабельсберг 03,"{'БАУТЦЕН': 3, 'БАБЕЛЬСБЕРГ 03': 5}",17.02.2019 14:30,https://www.myscore.com.ua/match/GlGzM6n4/#match-summary,,,,,
10,2,ИСЛАНДИЯ: Кубок лиги,Филкир - Троттюр,"{'ФИЛКИР': 3, 'ТРОТТЮР': 5}",17.02.2019 18:15,https://www.myscore.com.ua/match/YPSXh0Mn/#match-summary,,,,,
11,2,ИСПАНИЯ: Сегунда,Нумансия - Осасуна,"{'НУМАНСИЯ': 4, 'ОСАСУНА': 5}",17.02.2019 17:00,https://www.myscore.com.ua/match/S6b78afi/#match-summary,,,,,
12,2,ИСПАНИЯ: Сегунда Б - группа 1,Понферрадина - Коруксо,"{'ПОНФЕРРАДИНА': 6, 'КОРУКСО': 6}",17.02.2019 18:00,https://www.myscore.com.ua/match/jocOBes6/#match-summary,,,,,
13,2,ПОРТУГАЛИЯ: Примейра-лига,Морейренси - Тондела,"{'МОРЕЙРЕНСИ': 4, 'ТОНДЕЛА': 6}",17.02.2019 17:00,https://www.myscore.com.ua/match/Ea8IUSmC/#match-summary,,,,,
1,2,ПОРТУГАЛИЯ: Сегунда,Ковилья - Пасуш де Феррейра,"{'КОВИЛЬЯ': 5, 'ПАСУШ ДЕ ФЕРРЕЙРА': 8}",17.02.2019 13:15,https://www.myscore.com.ua/match/xKERXsha/#match-summary,,,,,
2,2,РУМЫНИЯ: Высшая лига,Динамо Бухарест - Ботошани,"{'ДИНАМО БУХАРЕСТ': 4, 'БОТОШАНИ': 8}",17.02.2019 20:00,https://www.myscore.com.ua/match/n3BFc651/#match-summary,,,,,
3,2,ТУРЦИЯ: Суперлига,Эрзурум - Сивасспор,"{'ЭРЗУРУМ': 4, 'СИВАССПОР': 5}",17.02.2019 12:30,https://www.myscore.com.ua/match/W6cLHtrd/#match-summary,,,,,
4,2,ХОРВАТИЯ: Первый дивизион,Осиек - Истра 1961,"{'ОСИЕК': 8, 'ИСТРА 1961': 4}",17.02.2019 16:00,https://www.myscore.com.ua/match/lMbuPqgI/#match-summary,,,,,
5,2,ШВЕЙЦАРИЯ: Суперлига,Базель - Сьон,"{'БАЗЕЛЬ': 5, 'СЬОН': 6}",17.02.2019 17:00,https://www.myscore.com.ua/match/6wRsI6L6/#match-summary,,,,,
