id,country,team,strategy 2,strategy 1,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
1,АНГЛИЯ: Премьер-лига,Борнмут - Бёрнли,"{'БОРНМУТ': 3, 'БЁРНЛИ': 4}","{'БОРНМУТ': 0.7, 'БЁРНЛИ': 1.17}",06.04.2019 17:00,https://www.myscore.com.ua/match/tKLzuv9M/#match-summary,Yes,Бёрнли,3,"{'Борнмут': 0, 'Бёрнли': 2}","{'Борнмут': 0, 'Бёрнли': 3}"
2,АНГЛИЯ: Премьер-лига,Хаддерсфилд - Лестер,"{'ХАДДЕРСФИЛД': 1, 'ЛЕСТЕР': 5}","{'ХАДДЕРСФИЛД': 1.92, 'ЛЕСТЕР': 1.08}",06.04.2019 17:00,https://www.myscore.com.ua/match/I1O3Yynj/#match-summary,Yes,Лестер,5,"{'Хаддерсфилд': 0, 'Лестер': 1}","{'Хаддерсфилд': 1, 'Лестер': 4}"
3,ГЕРМАНИЯ: Бундеслига,Вольфсбург - Ганновер,"{'ВОЛЬФСБУРГ': 4, 'ГАННОВЕР': 2}","{'ВОЛЬФСБУРГ': 1.25, 'ГАННОВЕР': 2.5}",06.04.2019 16:30,https://www.myscore.com.ua/match/2qDb1TOI/#match-summary,Yes,Вольфсбург,4,"{'Вольфсбург': 1, 'Ганновер': 1}","{'Вольфсбург': 3, 'Ганновер': 1}"
4,ГЕРМАНИЯ: Бундеслига,Герта - Фортуна Дюссельдорф,"{'ГЕРТА': 5, 'ФОРТУНА ДЮССЕЛЬДОРФ': 4}","{'ГЕРТА': 0.87, 'ФОРТУНА ДЮССЕЛЬДОРФ': 1.36}",06.04.2019 16:30,https://www.myscore.com.ua/match/CfKo4Vv0/#match-summary,Yes,Герта,3,"{'Герта': 1, 'Фортуна Дюссельдорф': 1}","{'Герта': 1, 'Фортуна Дюссельдорф': 2}"
5,ИСПАНИЯ: Примера,Реал Мадрид - Эйбар,"{'РЕАЛ МАДРИД': 4, 'ЭЙБАР': 4}","{'РЕАЛ МАДРИД': 0.58, 'ЭЙБАР': 0.6}",06.04.2019 17:15,https://www.myscore.com.ua/match/bmQw42KQ/#match-summary,Yes,Эйбар,3,"{'Реал Мадрид': 0, 'Эйбар': 1}","{'Реал Мадрид': 2, 'Эйбар': 1}"
6,ИТАЛИЯ: Серия А,Сампдория - Рома,"{'САМПДОРИЯ': 4, 'РОМА': 6}","{'САМПДОРИЯ': 0.68, 'РОМА': 1.38}",06.04.2019 21:30,https://www.myscore.com.ua/match/zcJXJoX8/#match-summary,No,0,1,"{'Сампдория': 0, 'Рома': 0}","{'Сампдория': 0, 'Рома': 1}"
7,АВСТРИЯ: Бундеслига - Группа вылета,Маттерсбург - Хартберг,"{'МАТТЕРСБУРГ': 6, 'ХАРТБЕРГ': 0}","{'МАТТЕРСБУРГ': 0.65, 'ХАРТБЕРГ': 3.08}",06.04.2019 18:00,https://www.myscore.com.ua/match/x6qgzbBe/#match-summary,No,0,3,"{'Маттерсбург': 0, 'Хартберг': 0}","{'Маттерсбург': 3, 'Хартберг': 0}"
8,АЛБАНИЯ: Суперлига,Кастриоти - Кукеси,"{'КАСТРИОТИ': 3, 'КУКЕСИ': 6}","{'КАСТРИОТИ': 1.25, 'КУКЕСИ': 2.25}",06.04.2019 16:45,https://www.myscore.com.ua/match/0QXIgEZN/#match-summary,Yes,Кукеси,3,"{'Кастриоти': 0, 'Кукеси': 1}","{'Кастриоти': 1, 'Кукеси': 1}"
9,АНГЛИЯ: Чемпионшип,Бирмингем - Лидс,"{'БИРМИНГЕМ': 5, 'ЛИДС': 6}","{'БИРМИНГЕМ': 1.0, 'ЛИДС': 1.0}",06.04.2019 17:00,https://www.myscore.com.ua/match/IDWrDaaQ/#match-summary,Yes,Бирмингем,1,"{'Бирмингем': 1, 'Лидс': 0}","{'Бирмингем': 1, 'Лидс': 0}"
10,АНГЛИЯ: Первая лига,Петерборо Юнайтед - Гиллингем,"{'ПЕТЕРБОРО ЮНАЙТЕД': 5, 'ГИЛЛИНГЕМ': 4}","{'ПЕТЕРБОРО ЮНАЙТЕД': 1.33, 'ГИЛЛИНГЕМ': 1.0}",06.04.2019 17:00,https://www.myscore.com.ua/match/06Lq8Kb1/#match-summary,No,0,2,"{'Петерборо Юнайтед': 0, 'Гиллингем': 0}","{'Петерборо Юнайтед': 2, 'Гиллингем': 0}"
