id,country,team,strategy 2,strategy 1,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
1,ГЕРМАНИЯ: Региональная лига Бавария,Мемминген - Розенхайм 1860,"{'МЕММИНГЕН': 4, 'РОЗЕНХАЙМ 1860': 2}","{'МЕММИНГЕН': 0.45, 'РОЗЕНХАЙМ 1860': 1.0}",04.03.2019 21:15,https://www.myscore.com.ua/match/n9SLgTSC/#match-summary,Yes,Мемминген,4,"{'Мемминген': 2, 'Розенхайм 1860': 0}","{'Мемминген': 2, 'Розенхайм 1860': 1}"
2,МИР: Кубок Алгарве,Дания (Ж) - Китай (Ж),"{'ДАНИЯ (Ж)': 4, 'КИТАЙ (Ж)': 7}","{'ДАНИЯ (Ж)': 0.67, 'КИТАЙ (Ж)': 1.0}",04.03.2019 15:15,https://www.myscore.com.ua/match/0UL23U8Q/#match-summary,No,0,1,"{'Дания (Ж)': 0, 'Китай (Ж)': 0}","{'Дания (Ж)': 1, 'Китай (Ж)': 0}"
3,ПАРАГВАЙ: Первый дивизион - Апертура,Либертад - Сан-Лоренсо,"{'ЛИБЕРТАД': 4, 'САН-ЛОРЕНСО': 4}","{'ЛИБЕРТАД': 0.53, 'САН-ЛОРЕНСО': 0.38}",04.03.2019 01:45,https://www.myscore.com.ua/match/tKRogvjC/#match-summary,Yes,Либертад,3,"{'Либертад': 1, 'Сан-Лоренсо': 0}","{'Либертад': 2, 'Сан-Лоренсо': 1}"
4,ПАРАГВАЙ: Первый дивизион - Апертура,Гуарани - Ривер Плейт,"{'ГУАРАНИ': 4, 'РИВЕР ПЛЕЙТ': 6}","{'ГУАРАНИ': 0.46, 'РИВЕР ПЛЕЙТ': 1.08}",04.03.2019 23:45,https://www.myscore.com.ua/match/61ZYet6g/#match-summary,Yes,Ривер Плейт,2,"{'Гуарани': 0, 'Ривер Плейт': 1}","{'Гуарани': 1, 'Ривер Плейт': 1}"
5,ТУРЦИЯ: 1. Lig,Алтай - Баликесирспор,"{'АЛТАЙ': 2, 'БАЛИКЕСИРСПОР': 3}","{'АЛТАЙ': 1.5, 'БАЛИКЕСИРСПОР': 1.05}",04.03.2019 18:00,https://www.myscore.com.ua/match/SKT6KRek/#match-summary,Yes,Алтай,1,"{'Алтай': 1, 'Баликесирспор': 0}","{'Алтай': 1, 'Баликесирспор': 0}"
6,УРУГВАЙ: Премьер-лига - Апертура,Пеньяроль - Хувентуд,"{'ПЕНЬЯРОЛЬ': 2, 'ХУВЕНТУД': 4}","{'ПЕНЬЯРОЛЬ': 1.0, 'ХУВЕНТУД': 1.5}",04.03.2019 00:00,https://www.myscore.com.ua/match/lvGKKlL0/#match-summary,Yes,Пеньяроль,5,"{'Пеньяроль': 2, 'Хувентуд': 1}","{'Пеньяроль': 4, 'Хувентуд': 1}"
