id,country,team,strategy 2,strategy 1,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
1,АНГЛИЯ: Чемпионшип,Ротерхэм - Астон Вилла,"{'РОТЕРХЭМ': 4, 'АСТОН ВИЛЛА': 5}","{'РОТЕРХЭМ': 4.57, 'АСТОН ВИЛЛА': 0.83}",10.04.2019 21:45,https://www.myscore.com.ua/match/8IecqOuM/#match-summary,Yes,Ротерхэм,3,"{'Ротерхэм': 1, 'Астон Вилла': 0}","{'Ротерхэм': 1, 'Астон Вилла': 2}"
2,КАЗАХСТАН: Кубок Казахстана,Актобе - Иртыш Павлодар,"{'АКТОБЕ': 5, 'ИРТЫШ ПАВЛОДАР': 3}","{'АКТОБЕ': 5.17, 'ИРТЫШ ПАВЛОДАР': 1.0}",10.04.2019 11:00,https://www.myscore.com.ua/match/E38Tuubj/#match-summary,Yes,Актобе,10,"{'Актобе': 2, 'Иртыш Павлодар': 4}","{'Актобе': 3, 'Иртыш Павлодар': 5}"
3,ЛАТВИЯ: Optibet Virsliga,Вентспилс - БФК Даугава,"{'ВЕНТСПИЛС': 5, 'БФК ДАУГАВА': 5}","{'ВЕНТСПИЛС': 3.0, 'БФК ДАУГАВА': 4.12}",10.04.2019 17:00,https://www.myscore.com.ua/match/bySfidFL/#match-summary,Yes,Вентспилс,2,"{'Вентспилс': 1, 'БФК Даугава': 1}","{'Вентспилс': 1, 'БФК Даугава': 1}"
4,ЛАТВИЯ: Optibet Virsliga,Валмиера - RFS,"{'ВАЛМИЕРА': 4, 'RFS': 5}","{'ВАЛМИЕРА': 0, 'RFS': 1.83}",10.04.2019 18:00,https://www.myscore.com.ua/match/hbRbjGUR/#match-summary,Yes,RFS,2,"{'Валмиера': 0, 'RFS': 2}","{'Валмиера': 0, 'RFS': 2}"
5,СЛОВЕНИЯ: Первая лига,Рудар - Целе,"{'РУДАР': 4, 'ЦЕЛЕ': 5}","{'РУДАР': 1.42, 'ЦЕЛЕ': 1.67}",10.04.2019 17:00,https://www.myscore.com.ua/match/EZbxTt2O/#match-summary,No,0,3,"{'Рудар': 0, 'Целе': 0}","{'Рудар': 0, 'Целе': 2}"
