id,country,team,strategy 2,strategy 1,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
1,АВСТРАЛИЯ: Лига А - Плей-офф,Мельбурн Виктори - Веллингтон Феникс,"{'МЕЛЬБУРН ВИКТОРИ': 7, 'ВЕЛЛИНГТОН ФЕНИКС': 4}","{'МЕЛЬБУРН ВИКТОРИ': 1.33, 'ВЕЛЛИНГТОН ФЕНИКС': 4.5}",03.05.2019 12:50,https://www.myscore.com.ua/match/W0nmO4wM/#match-summary
2,БОЛИВИЯ: Division Profesional - Апертура,Сан-Хосе - Ориенте Петролеро,"{'САН-ХОСЕ': 7, 'ОРИЕНТЕ ПЕТРОЛЕРО': 3}","{'САН-ХОСЕ': 3.33, 'ОРИЕНТЕ ПЕТРОЛЕРО': 0.67}",03.05.2019 03:30,https://www.myscore.com.ua/match/fwGJSFOA/#match-summary
3,БРАЗИЛИЯ: Чемпионат Бразилии,Ботафого - Баия,"{'БОТАФОГО': 2, 'БАИЯ': 5}","{'БОТАФОГО': 2.5, 'БАИЯ': 1.42}",03.05.2019 02:00,https://www.myscore.com.ua/match/IkltW0vH/#match-summary
4,ГЕРМАНИЯ: Вторая Бундеслига,Арминия - Падерборн,"{'АРМИНИЯ': 5, 'ПАДЕРБОРН': 3}","{'АРМИНИЯ': 1.17, 'ПАДЕРБОРН': 0.25}",03.05.2019 19:30,https://www.myscore.com.ua/match/2Rg5FKbL/#match-summary
5,ГИБРАЛТАР: Премьер-Дивизион,Глэдс Юнайтед - Сент-Джозефс,"{'ГЛЭДС ЮНАЙТЕД': 4, 'СЕНТ-ДЖОЗЕФС': 3}","{'ГЛЭДС ЮНАЙТЕД': 0.94, 'СЕНТ-ДЖОЗЕФС': 0.23}",03.05.2019 21:30,https://www.myscore.com.ua/match/GWSV33bf/#match-summary
6,ИРЛАНДИЯ: Премьер-Дивизион,Финн Хэрпс - ЮКД,"{'ФИНН ХЭРПС': 1, 'ЮКД': 4}","{'ФИНН ХЭРПС': 0.42, 'ЮКД': 1.33}",03.05.2019 22:00,https://www.myscore.com.ua/match/pAZfQmLG/#match-summary
7,ЛАТВИЯ: Optibet Virsliga,Метта/ЛУ - БФК Даугава,"{'МЕТТА/ЛУ': 5, 'БФК ДАУГАВА': 2}","{'МЕТТА/ЛУ': 0.88, 'БФК ДАУГАВА': 0.33}",03.05.2019 17:30,https://www.myscore.com.ua/match/O0lRoeft/#match-summary
8,НИДЕРЛАНДЫ: Первый дивизион,Дордрехт - Йонг Утрехт,"{'ДОРДРЕХТ': 7, 'ЙОНГ УТРЕХТ': 5}","{'ДОРДРЕХТ': 0.79, 'ЙОНГ УТРЕХТ': 1.0}",03.05.2019 21:00,https://www.myscore.com.ua/match/j7WLXlrc/#match-summary
9,НИДЕРЛАНДЫ: Первый дивизион,Йонг Аякс - Алмере,"{'ЙОНГ АЯКС': 5, 'АЛМЕРЕ': 6}","{'ЙОНГ АЯКС': 1.62, 'АЛМЕРЕ': 0.51}",03.05.2019 21:00,https://www.myscore.com.ua/match/CtNtTQdS/#match-summary
10,ПОЛЬША: Премьер-лига - Группа вылета,Гурник Забже - Висла,"{'ГУРНИК ЗАБЖЕ': 4, 'ВИСЛА': 9}","{'ГУРНИК ЗАБЖЕ': 0.33, 'ВИСЛА': 1.58}",03.05.2019 21:30,https://www.myscore.com.ua/match/ELVZFyfa/#match-summary
11,РОССИЯ: Молодежная Лига,Ахмат U21 - Зенит U21,"{'АХМАТ U21': 6, 'ЗЕНИТ U21': 5}","{'АХМАТ U21': 1.5, 'ЗЕНИТ U21': 0.75}",03.05.2019 16:00,https://www.myscore.com.ua/match/bZjqx2Sb/#match-summary
12,ФРАНЦИЯ: Третья лига,Булонь - Конкарно,"{'БУЛОНЬ': 3, 'КОНКАРНО': 4}","{'БУЛОНЬ': 0.75, 'КОНКАРНО': 1.08}",03.05.2019 21:00,https://www.myscore.com.ua/match/6VEWZu2a/#match-summary
