id,country,team,strategy 2,strategy 1,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
1,АНГЛИЯ: Чемпионшип,Бристоль Сити - Вест Бромвич,"{'БРИСТОЛЬ СИТИ': 4, 'ВЕСТ БРОМВИЧ': 4}","{'БРИСТОЛЬ СИТИ': 0.33, 'ВЕСТ БРОМВИЧ': 0.38}",09.04.2019 21:45,https://www.myscore.com.ua/match/pMVJV4BM/#match-summary,Yes,Бристоль Сити,5,"{'Бристоль Сити': 3, 'Вест Бромвич': 0}","{'Бристоль Сити': 3, 'Вест Бромвич': 2}"
2,АНГЛИЯ: Вторая лига,Маклсфилд - Эксетер Сити,"{'МАКЛСФИЛД': 9, 'ЭКСЕТЕР СИТИ': 6}","{'МАКЛСФИЛД': 0.29, 'ЭКСЕТЕР СИТИ': 0.75}",09.04.2019 21:45,https://www.myscore.com.ua/match/0nNk2K17/#match-summary,Yes,Маклсфилд,5,"{'Маклсфилд': 1, 'Эксетер Сити': 2}","{'Маклсфилд': 3, 'Эксетер Сити': 2}"
3,ГЕРМАНИЯ: Юго-западная региональная лига,Хоффенхайм II - Вальдорф,"{'ХОФФЕНХАЙМ II': 4, 'ВАЛЬДОРФ': 5}","{'ХОФФЕНХАЙМ II': 2.0, 'ВАЛЬДОРФ': 0.42}",09.04.2019 20:00,https://www.myscore.com.ua/match/fBDVlOs4/#match-summary,Yes,Хоффенхайм II,2,"{'Хоффенхайм II': 1, 'Вальдорф': 0}","{'Хоффенхайм II': 2, 'Вальдорф': 0}"
4,ГЕРМАНИЯ: Региональная лига Бавария,Ашаффенбург - Бавария II,"{'АШАФФЕНБУРГ': 2, 'БАВАРИЯ II': 6}","{'АШАФФЕНБУРГ': 1.48, 'БАВАРИЯ II': 0.88}",09.04.2019 19:00,https://www.myscore.com.ua/match/nkWsI3BU/#match-summary,Yes,Ашаффенбург,5,"{'Ашаффенбург': 1, 'Бавария II': 1}","{'Ашаффенбург': 2, 'Бавария II': 2}"
5,ЛАТВИЯ: Optibet Virsliga,Лиепая - Метта/ЛУ,"{'ЛИЕПАЯ': 4, 'МЕТТА/ЛУ': 6}","{'ЛИЕПАЯ': 1.0, 'МЕТТА/ЛУ': 3.17}",09.04.2019 19:00,https://www.myscore.com.ua/match/pYNjhx0F/#match-summary,Yes,Лиепая,3,"{'Лиепая': 1, 'Метта/ЛУ': 0}","{'Лиепая': 2, 'Метта/ЛУ': 1}"
6,МАЛАЙЗИЯ: Кубок FA,ПДРМ ФА - Саравак ФА,"{'ПДРМ ФА': 1, 'САРАВАК ФА': 3}","{'ПДРМ ФА': 0.67, 'САРАВАК ФА': 1.83}",09.04.2019 11:45,https://www.myscore.com.ua/match/0dGownlh/#match-summary,Yes,Саравак ФА,7,"{'ПДРМ ФА': 0, 'Саравак ФА': 2}","{'ПДРМ ФА': 5, 'Саравак ФА': 2}"
7,МИР: Международные товарищеские матчи,Норвегия (Ж) - Новая Зеландия (Ж),"{'НОРВЕГИЯ (Ж)': 6, 'НОВАЯ ЗЕЛАНДИЯ (Ж)': 6}","{'НОРВЕГИЯ (Ж)': 1.12, 'НОВАЯ ЗЕЛАНДИЯ (Ж)': 2.14}",09.04.2019 19:00,https://www.myscore.com.ua/match/0YHYyzwg/#match-summary,Yes,Новая Зеландия (Ж),1,"{'Норвегия (Ж)': 0, 'Новая Зеландия (Ж)': 1}","{'Норвегия (Ж)': 0, 'Новая Зеландия (Ж)': 1}"
