1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,1,1,1,2,6,8,20,21,22,22,22,9,7,2,1,0,0,0,0
0,1,1,0,2,4,5,12,14,15,16,17,7,5,2,1,0,0,0,0
1,0,0,1,0,2,3,8,7,7,6,5,2,2,0,0,0,0,0,0
