1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,0,0,3,6,7,16,14,12,13,8,10,5,0,2,0,0,0,0
0,0,0,0,2,3,4,14,10,10,9,5,7,4,0,1,0,0,0,0
0,0,0,0,1,3,3,2,4,2,4,3,3,1,0,1,0,0,0,0
