1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,1,1,1,6,9,8,18,21,33,21,28,14,5,3,1,1,0,0,0
1,0,1,0,4,4,5,11,17,26,13,17,12,3,2,0,1,0,0,0
0,1,0,1,2,5,3,7,4,7,8,11,2,2,1,1,0,0,0,0
