1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,1,1,2,2,10,13,29,39,38,29,27,15,9,5,1,0,0,0,0
0,1,1,1,2,7,7,19,26,26,20,21,10,6,5,1,0,0,0,0
1,0,0,1,0,3,6,10,13,12,9,6,5,3,0,0,0,0,0,0
