1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0,0,1,1,5,9,20,30,30,17,15,10,6,5,1,1,0,0,0
0,0,0,1,1,3,4,14,21,24,14,12,5,5,4,0,1,0,0,0
1,0,0,0,0,2,5,6,9,6,3,3,5,1,1,1,0,0,0,0
