id,country,team,strategy 2,strategy 1,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
1,ЕВРОПА: Лига чемпионов - Плей-офф,Манчестер Сити - Тоттенхэм,"{'МАНЧЕСТЕР СИТИ': 5, 'ТОТТЕНХЭМ': 2}","{'МАНЧЕСТЕР СИТИ': 2.5, 'ТОТТЕНХЭМ': 4.2}",17.04.2019 22:00,https://www.myscore.com.ua/match/xjTPLlwR/#match-summary
2,ГЕРМАНИЯ: Региональная лига Бавария,Ваккер Бургхаузен - Аугсбург II,"{'ВАККЕР БУРГХАУЗЕН': 2, 'АУГСБУРГ II': 3}","{'ВАККЕР БУРГХАУЗЕН': 0.38, 'АУГСБУРГ II': 0.08}",17.04.2019 19:30,https://www.myscore.com.ua/match/8bXwJqdO/#match-summary
3,ГЕРМАНИЯ: Женская Бундеслига,Занд (Ж) - Бавария (Ж),"{'ЗАНД (Ж)': 4, 'БАВАРИЯ (Ж)': 6}","{'ЗАНД (Ж)': 0.29, 'БАВАРИЯ (Ж)': 0.61}",17.04.2019 18:00,https://www.myscore.com.ua/match/KMGgiupH/#match-summary
4,ДАНИЯ: Суперлига - Группа вылета,Ольборг - Вендсюссель,"{'ОЛЬБОРГ': 5, 'ВЕНДСЮССЕЛЬ': 6}","{'ОЛЬБОРГ': 0.88, 'ВЕНДСЮССЕЛЬ': 0.5}",17.04.2019 19:00,https://www.myscore.com.ua/match/UiSAyN9E/#match-summary
5,ОАЭ: Первый дивизион,Эль-Фуджайра - Аль-Васл,"{'ЭЛЬ-ФУДЖАЙРА': 3, 'АЛЬ-ВАСЛ': 6}","{'ЭЛЬ-ФУДЖАЙРА': 0.27, 'АЛЬ-ВАСЛ': 0.75}",17.04.2019 16:55,https://www.myscore.com.ua/match/CYhZEm3P/#match-summary
6,ОАЭ: Первый дивизион,Аль-Дафра - Банияс,"{'АЛЬ-ДАФРА': 6, 'БАНИЯС': 8}","{'АЛЬ-ДАФРА': 1.03, 'БАНИЯС': 2.17}",17.04.2019 17:05,https://www.myscore.com.ua/match/dQWH6PA5/#match-summary
7,США: USL Championship,Шарлотт Индепенд. - Бетлехем,"{'ШАРЛОТТ ИНДЕПЕНД.': 6, 'БЕТЛЕХЕМ': 5}","{'ШАРЛОТТ ИНДЕПЕНД.': 0.55, 'БЕТЛЕХЕМ': 0.19}",17.04.2019 02:00,https://www.myscore.com.ua/match/2XAQWWb8/#match-summary
8,УКРАИНА: Первая лигa,Звезда - Прикарпатье,"{'ЗВЕЗДА': 0, 'ПРИКАРПАТЬЕ': 5}","{'ЗВЕЗДА': 3.0, 'ПРИКАРПАТЬЕ': 1.0}",17.04.2019 17:30,https://www.myscore.com.ua/match/AV9yWXpC/#match-summary
