id,country,team,strategy 2,strategy 1,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
1,ГЕРМАНИЯ: Бундеслига,Вольфсбург - Вердер,"{'ВОЛЬФСБУРГ': 7, 'ВЕРДЕР': 6}","{'ВОЛЬФСБУРГ': 2.25, 'ВЕРДЕР': 5.29}",03.03.2019 19:00,https://www.myscore.com.ua/match/xML6n6Dc/#match-summary,No,0,2,"{'Вольфсбург': 0, 'Вердер': 0}","{'Вольфсбург': 1, 'Вердер': 1}"
2,ФРАНЦИЯ: Первая лига,Марсель - Сент-Этьен,"{'МАРСЕЛЬ': 4, 'СЕНТ-ЭТЬЕН': 5}","{'МАРСЕЛЬ': 1.25, 'СЕНТ-ЭТЬЕН': 4.25}",03.03.2019 22:00,https://www.myscore.com.ua/match/KtsnhTqS/#match-summary,Yes,Марсель,2,"{'Марсель': 2, 'Сент-Этьен': 0}","{'Марсель': 2, 'Сент-Этьен': 0}"
3,АВСТРИЯ: Бундеслига,Аустрия - Хартберг,"{'АУСТРИЯ': 6, 'ХАРТБЕРГ': 3}","{'АУСТРИЯ': 0.29, 'ХАРТБЕРГ': 2.0}",03.03.2019 15:30,https://www.myscore.com.ua/match/rB8PfcNJ/#match-summary,Yes,Аустрия,6,"{'Аустрия': 1, 'Хартберг': 0}","{'Аустрия': 4, 'Хартберг': 2}"
4,БОЛГАРИЯ: Первая лига,Славия София - Левски,"{'СЛАВИЯ СОФИЯ': 3, 'ЛЕВСКИ': 4}","{'СЛАВИЯ СОФИЯ': 1.5, 'ЛЕВСКИ': 0.17}",03.03.2019 17:30,https://www.myscore.com.ua/match/dxN6vGZt/#match-summary,Yes,Левски,3,"{'Славия София': 0, 'Левски': 2}","{'Славия София': 0, 'Левски': 3}"
5,ВЕНГРИЯ: Меркантил Банк Лига,Вашаш - Ньиредьгаза,"{'ВАШАШ': 5, 'НЬИРЕДЬГАЗА': 7}","{'ВАШАШ': 0.67, 'НЬИРЕДЬГАЗА': 0.42}",03.03.2019 17:00,https://www.myscore.com.ua/match/MaQobRhb/#match-summary,Yes,Вашаш,6,"{'Вашаш': 1, 'Ньиредьгаза': 1}","{'Вашаш': 5, 'Ньиредьгаза': 1}"
6,ГЕРМАНИЯ: Вторая Бундеслига,Ингольштадт - Кёльн,"{'ИНГОЛЬШТАДТ': 7, 'КЁЛЬН': 6}","{'ИНГОЛЬШТАДТ': 0.25, 'КЁЛЬН': 1.75}",03.03.2019 14:30,https://www.myscore.com.ua/match/AeX0YJnA/#match-summary,Yes,Кёльн,3,"{'Ингольштадт': 0, 'Кёльн': 1}","{'Ингольштадт': 0, 'Кёльн': 2}"
7,ГОНДУРАС: Национальная лига - Клаусура,Вида - Мотагуа,"{'ВИДА': 4, 'МОТАГУА': 5}","{'ВИДА': 2.75, 'МОТАГУА': 0.67}",03.03.2019 23:30,https://www.myscore.com.ua/match/QauvC1KF/#match-summary,Yes,Мотагуа,1,"{'Вида': 0, 'Мотагуа': 1}","{'Вида': 0, 'Мотагуа': 1}"
8,ДАНИЯ: Суперлига,Оденсе - Брённбю,"{'ОДЕНСЕ': 7, 'БРЁННБЮ': 6}","{'ОДЕНСЕ': 1.92, 'БРЁННБЮ': 1.12}",03.03.2019 19:00,https://www.myscore.com.ua/match/WI3lkKpg/#match-summary,Yes,Оденсе,2,"{'Оденсе': 1, 'Брённбю': 0}","{'Оденсе': 2, 'Брённбю': 0}"
9,ИСПАНИЯ: Сегунда,Нумансия - Спортинг,"{'НУМАНСИЯ': 6, 'СПОРТИНГ': 5}","{'НУМАНСИЯ': 0.64, 'СПОРТИНГ': 0.75}",03.03.2019 17:00,https://www.myscore.com.ua/match/G8psb6x1/#match-summary,Yes,Нумансия,3,"{'Нумансия': 1, 'Спортинг': 2}","{'Нумансия': 1, 'Спортинг': 2}"
10,КИТАЙ: Суперлига,Хенань Цзянье - Далянь Ифан,"{'ХЕНАНЬ ЦЗЯНЬЕ': 4, 'ДАЛЯНЬ ИФАН': 5}","{'ХЕНАНЬ ЦЗЯНЬЕ': 2.0, 'ДАЛЯНЬ ИФАН': 9.17}",03.03.2019 09:30,https://www.myscore.com.ua/match/C2thtfI7/#match-summary,Yes,Хенань Цзянье,2,"{'Хенань Цзянье': 1, 'Далянь Ифан': 0}","{'Хенань Цзянье': 1, 'Далянь Ифан': 0}"
11,КОСТА-РИКА: Высший дивизион - Клаусура,Сантос де Гуапилес - Лимон,"{'САНТОС ДЕ ГУАПИЛЕС': 4, 'ЛИМОН': 4}","{'САНТОС ДЕ ГУАПИЛЕС': 0.4, 'ЛИМОН': 0.92}",03.03.2019 02:00,https://www.myscore.com.ua/match/0S0b4wT8/#match-summary,Yes,Сантос де Гуапилес,6,"{'Сантос де Гуапилес': 2, 'Лимон': 1}","{'Сантос де Гуапилес': 4, 'Лимон': 1}"
12,МАЛАЙЗИЯ: Суперлига,Melaka United - Куала-Лумпур,"{'MELAKA UNITED': 6, 'КУАЛА-ЛУМПУР': 2}","{'MELAKA UNITED': 0.5, 'КУАЛА-ЛУМПУР': 2.25}",03.03.2019 15:00,https://www.myscore.com.ua/match/Ch1MM2EA/#match-summary,Yes,Melaka United,2,"{'Melaka United': 2, 'Куала-Лумпур': 0}","{'Melaka United': 2, 'Куала-Лумпур': 0}"
