id,country,team,strategy 2,strategy 1,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
2,АВСТРАЛИЯ: Лига А,Веллингтон Феникс - Сидней Уондерерс,"{'ВЕЛЛИНГТОН ФЕНИКС': 4, 'СИДНЕЙ УОНДЕРЕРС': 7}","{'ВЕЛЛИНГТОН ФЕНИКС': 0.57, 'СИДНЕЙ УОНДЕРЕРС': 0.56}",17.03.2019 08:00,https://www.myscore.com.ua/match/S4m0PRNB/#match-summary,Yes,Веллингтон Феникс,4,"{'Веллингтон Феникс': 3, 'Сидней Уондерерс': 0}","{'Веллингтон Феникс': 3, 'Сидней Уондерерс': 1}"
3,АВСТРИЯ: Бундеслига,Рапид - Хартберг,"{'РАПИД': 6, 'ХАРТБЕРГ': 2}","{'РАПИД': 1.62, 'ХАРТБЕРГ': 2.35}",17.03.2019 18:00,https://www.myscore.com.ua/match/WjoR2fFt/#match-summary,Yes,Рапид,3,"{'Рапид': 2, 'Хартберг': 0}","{'Рапид': 2, 'Хартберг': 1}"
4,БЕЛЬГИЯ: Высшая лига,Брюгге - Мускрон,"{'БРЮГГЕ': 4, 'МУСКРОН': 6}","{'БРЮГГЕ': 3.5, 'МУСКРОН': 1.25}",17.03.2019 19:00,https://www.myscore.com.ua/match/joi3UZQr/#match-summary,Yes,Мускрон,3,"{'Брюгге': 0, 'Мускрон': 1}","{'Брюгге': 1, 'Мускрон': 2}"
5,БОЛГАРИЯ: Первая лига,Славия София - Этыр,"{'СЛАВИЯ СОФИЯ': 4, 'ЭТЫР': 5}","{'СЛАВИЯ СОФИЯ': 2.0, 'ЭТЫР': 0.5}",17.03.2019 17:30,https://www.myscore.com.ua/match/jwi8nVXH/#match-summary,Yes,Этыр,1,"{'Славия София': 0, 'Этыр': 1}","{'Славия София': 0, 'Этыр': 1}"
6,БОЛИВИЯ: Division Profesional - Апертура,Сан-Хосе - Гуабира,"{'САН-ХОСЕ': 5, 'ГУАБИРА': 7}","{'САН-ХОСЕ': 0.72, 'ГУАБИРА': 0.7}",17.03.2019 23:15,https://www.myscore.com.ua/match/8r3DbM7o/#match-summary,Yes,Сан-Хосе,4,"{'Сан-Хосе': 1, 'Гуабира': 0}","{'Сан-Хосе': 3, 'Гуабира': 1}"
7,БОСНИЯ И ГЕРЦЕГОВИНА: Премьер-лига,Сараево - Крупа,"{'САРАЕВО': 6, 'КРУПА': 5}","{'САРАЕВО': 0.17, 'КРУПА': 3.07}",17.03.2019 16:00,https://www.myscore.com.ua/match/hzTZooZ4/#match-summary,No,0,0,"{'Сараево': 0, 'Крупа': 0}","{'Сараево': 0, 'Крупа': 0}"
8,ВЕНГРИЯ: Меркантил Банк Лига,Шорокшар - Цеглед,"{'ШОРОКШАР': 6, 'ЦЕГЛЕД': 1}","{'ШОРОКШАР': 4.25, 'ЦЕГЛЕД': 0.38}",17.03.2019 16:00,https://www.myscore.com.ua/match/ANoV5c6r/#match-summary,No,0,3,"{'Шорокшар': 0, 'Цеглед': 0}","{'Шорокшар': 2, 'Цеглед': 1}"
9,ВЕНГРИЯ: Меркантил Банк Лига,Ньиредьгаза - Дьер,"{'НЬИРЕДЬГАЗА': 7, 'ДЬЕР': 6}","{'НЬИРЕДЬГАЗА': 1.86, 'ДЬЕР': 1.6}",17.03.2019 18:00,https://www.myscore.com.ua/match/6oRgDcb2/#match-summary,No,0,1,"{'Ньиредьгаза': 0, 'Дьер': 0}","{'Ньиредьгаза': 1, 'Дьер': 0}"
10,ГЕРМАНИЯ: Вторая Бундеслига,Падерборн - Ингольштадт,"{'ПАДЕРБОРН': 3, 'ИНГОЛЬШТАДТ': 5}","{'ПАДЕРБОРН': 1.17, 'ИНГОЛЬШТАДТ': 0.75}",17.03.2019 14:30,https://www.myscore.com.ua/match/xp4juSaf/#match-summary,No,0,4,"{'Падерборн': 0, 'Ингольштадт': 0}","{'Падерборн': 3, 'Ингольштадт': 1}"
11,ГЕРМАНИЯ: Северо-восточная региональная лига,Оберлаузитц - Фюрстенвальде,"{'ОБЕРЛАУЗИТЦ': 5, 'ФЮРСТЕНВАЛЬДЕ': 4}","{'ОБЕРЛАУЗИТЦ': 13, 'ФЮРСТЕНВАЛЬДЕ': 2.42}",17.03.2019 14:30,https://www.myscore.com.ua/match/jPF4Dua8/#match-summary,No,0,0,"{'Оберлаузитц': 0, 'Фюрстенвальде': 0}","{'Оберлаузитц': 0, 'Фюрстенвальде': 0}"
