id,country,team,strategy 2,strategy 1,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
1,ГЕРМАНИЯ: Бундеслига,Ганновер - Боруссия М,"{'ГАННОВЕР': 3, 'БОРУССИЯ М': 3}","{'ГАННОВЕР': 2.95, 'БОРУССИЯ М': 0.75}",13.04.2019 16:30,https://www.myscore.com.ua/match/zizR0Hk5/#match-summary,No,0,1,"{'Ганновер': 0, 'Боруссия М': 0}","{'Ганновер': 0, 'Боруссия М': 1}"
2,ИСПАНИЯ: Примера,Севилья - Бетис,"{'СЕВИЛЬЯ': 6, 'БЕТИС': 4}","{'СЕВИЛЬЯ': 0.33, 'БЕТИС': 1.67}",13.04.2019 21:45,https://www.myscore.com.ua/match/WzXqDucs/#match-summary,Yes,Севилья,5,"{'Севилья': 1, 'Бетис': 0}","{'Севилья': 3, 'Бетис': 2}"
3,ИТАЛИЯ: Серия А,Рома - Удинезе,"{'РОМА': 5, 'УДИНЕЗЕ': 5}","{'РОМА': 0.75, 'УДИНЕЗЕ': 1.14}",13.04.2019 19:00,https://www.myscore.com.ua/match/pl4iDzGg/#match-summary,No,0,1,"{'Рома': 0, 'Удинезе': 0}","{'Рома': 1, 'Удинезе': 0}"
4,ФРАНЦИЯ: Первая лига,Марсель - Ним,"{'МАРСЕЛЬ': 4, 'НИМ': 4}","{'МАРСЕЛЬ': 1.33, 'НИМ': 2.0}",13.04.2019 18:00,https://www.myscore.com.ua/match/2LONugeb/#match-summary,No,0,3,"{'Марсель': 0, 'Ним': 0}","{'Марсель': 2, 'Ним': 1}"
5,ФРАНЦИЯ: Первая лига,Монако - Реймс,"{'МОНАКО': 5, 'РЕЙМС': 5}","{'МОНАКО': 1.0, 'РЕЙМС': 1.5}",13.04.2019 21:00,https://www.myscore.com.ua/match/tCNRvDA4/#match-summary,No,0,0,"{'Монако': 0, 'Реймс': 0}","{'Монако': 0, 'Реймс': 0}"
6,АНГЛИЯ: Чемпионшип,Астон Вилла - Бристоль Сити,"{'АСТОН ВИЛЛА': 5, 'БРИСТОЛЬ СИТИ': 5}","{'АСТОН ВИЛЛА': 0.68, 'БРИСТОЛЬ СИТИ': 1.06}",13.04.2019 17:00,https://www.myscore.com.ua/match/n9f1rreS/#match-summary,No,0,3,"{'Астон Вилла': 0, 'Бристоль Сити': 0}","{'Астон Вилла': 2, 'Бристоль Сити': 1}"
7,АНГЛИЯ: Чемпионшип,Ипсвич Таун - Бирмингем,"{'ИПСВИЧ ТАУН': 3, 'БИРМИНГЕМ': 5}","{'ИПСВИЧ ТАУН': 0.92, 'БИРМИНГЕМ': 0.67}",13.04.2019 17:00,https://www.myscore.com.ua/match/GOpXxMIk/#match-summary,Yes,Бирмингем,2,"{'Ипсвич Таун': 0, 'Бирмингем': 1}","{'Ипсвич Таун': 1, 'Бирмингем': 1}"
8,АНГЛИЯ: Вторая лига,Линкольн - Челтенхэм,"{'ЛИНКОЛЬН': 6, 'ЧЕЛТЕНХЭМ': 6}","{'ЛИНКОЛЬН': 0.5, 'ЧЕЛТЕНХЭМ': 1.33}",13.04.2019 17:00,https://www.myscore.com.ua/match/jmvKfEAt/#match-summary,Yes,Линкольн,2,"{'Линкольн': 1, 'Челтенхэм': 0}","{'Линкольн': 1, 'Челтенхэм': 1}"
9,АНГЛИЯ: Вторая лига,Форест Грин - Маклсфилд,"{'ФОРЕСТ ГРИН': 5, 'МАКЛСФИЛД': 9}","{'ФОРЕСТ ГРИН': 0.27, 'МАКЛСФИЛД': 0.31}",13.04.2019 17:00,https://www.myscore.com.ua/match/ERnhaf2P/#match-summary,No,0,2,"{'Форест Грин': 0, 'Маклсфилд': 0}","{'Форест Грин': 2, 'Маклсфилд': 0}"
10,БЕЛЬГИЯ: Высшая лига - Группа Лиги Европы,Кортрейк - Сен-Жилуаз,"{'КОРТРЕЙК': 5, 'СЕН-ЖИЛУАЗ': 4}","{'КОРТРЕЙК': 1.14, 'СЕН-ЖИЛУАЗ': 0.17}",13.04.2019 21:00,https://www.myscore.com.ua/match/tGVdXcXP/#match-summary,No,0,1,"{'Кортрейк': 0, 'Сен-Жилуаз': 0}","{'Кортрейк': 0, 'Сен-Жилуаз': 1}"
11,БЕЛЬГИЯ: Высшая лига - Группа Лиги Европы,Синт-Трёйден - Остенде,"{'СИНТ-ТРЁЙДЕН': 6, 'ОСТЕНДЕ': 5}","{'СИНТ-ТРЁЙДЕН': 0.4, 'ОСТЕНДЕ': 0.5}",13.04.2019 21:00,https://www.myscore.com.ua/match/pjNi9Wri/#match-summary,No,0,1,"{'Синт-Трёйден': 0, 'Остенде': 0}","{'Синт-Трёйден': 1, 'Остенде': 0}"
12,БОЛИВИЯ: Division Profesional - Апертура,Насьональ Потоси - Боливар,"{'НАСЬОНАЛЬ ПОТОСИ': 4, 'БОЛИВАР': 9}","{'НАСЬОНАЛЬ ПОТОСИ': 0.25, 'БОЛИВАР': 4.0}",13.04.2019 03:00,https://www.myscore.com.ua/match/QHnu9URK/#match-summary,No,0,1,"{'Насьональ Потоси': 0, 'Боливар': 0}","{'Насьональ Потоси': 0, 'Боливар': 1}"
