id,team,point,link,result in all time
1,Расинг - Дефенса и Хустисия,2.83,https://www.myscore.com.ua/match/hriVeFo0/#match-summary,
2,Брюгге - Стандард,3.47,https://www.myscore.com.ua/match/veaGHxFk/#match-summary,
3,Китчи - Саутерн Дистрикт,3.56,https://www.myscore.com.ua/match/E3pEAeZK/#match-summary,
4,Мильонариос - Кукута,2.89,https://www.myscore.com.ua/match/hvi6EKMC/#match-summary,
5,Греция - Лимон,4.25,https://www.myscore.com.ua/match/GKG8yrfb/#match-summary,
6,Франция (Ж) - Дания (Ж),9.09,https://www.myscore.com.ua/match/46OPwd8t/#match-summary,
7,Халапа - ФК Манагуа,1.4,https://www.myscore.com.ua/match/vJJRpH0p/#match-summary,
8,Русенборг - Одд,3.06,https://www.myscore.com.ua/match/Cx7g6B6A/#match-summary,
9,Оренбург - Ахмат,2.62,https://www.myscore.com.ua/match/lEWgPC76/#match-summary,
10,Ризеспор - Бешикташ,2.5,https://www.myscore.com.ua/match/4flWhFRG/#match-summary,
11,ВПС - Интер Турку,2.21,https://www.myscore.com.ua/match/MT35gVuF/#match-summary,
