id,country,team,strategy 2,strategy 1,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
1,БОЛИВИЯ: Division Profesional - Апертура,Стронгест - Боливар,"{'СТРОНГЕСТ': 7, 'БОЛИВАР': 7}","{'СТРОНГЕСТ': 1.8, 'БОЛИВАР': 1.83}",14.03.2019 02:30,https://www.myscore.com.ua/match/E7Ozo3wn/#match-summary
2,МАЛЬТА: Премьер-лига,Сенглеа Атлетик - Сент Эндрюс,"{'СЕНГЛЕА АТЛЕТИК': 6, 'СЕНТ ЭНДРЮС': 3}","{'СЕНГЛЕА АТЛЕТИК': 1.5, 'СЕНТ ЭНДРЮС': 0.75}",14.03.2019 19:00,https://www.myscore.com.ua/match/UBOXZ8jF/#match-summary
3,МАЛЬТА: Премьер-лига,Корми - Таршин,"{'КОРМИ': 3, 'ТАРШИН': 2}","{'КОРМИ': 1, 'ТАРШИН': 0.67}",14.03.2019 21:15,https://www.myscore.com.ua/match/Sn48T6Tr/#match-summary
4,НИКАРАГУА: Примера - Клаусура,Хувентус Манагуа - УНАН-Манагуа,"{'ХУВЕНТУС МАНАГУА': 5, 'УНАН-МАНАГУА': 3}","{'ХУВЕНТУС МАНАГУА': 2.6, 'УНАН-МАНАГУА': 1.0}",14.03.2019 03:00,https://www.myscore.com.ua/match/Kvt5srfh/#match-summary
5,ЯМАЙКА: Премьер-лига,Хамбл Лайонс - Тиволи,"{'ХАМБЛ ЛАЙОНС': 4, 'ТИВОЛИ': 4}","{'ХАМБЛ ЛАЙОНС': 0.75, 'ТИВОЛИ': 0.75}",14.03.2019 22:30,https://www.myscore.com.ua/match/djfpvnSk/#match-summary
