id,strategy,country,team,point,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
0,2,ЕВРОПА: Лига чемпионов - Плей-офф,Атлетико - Ювентус,"{'АТЛЕТИКО': 6, 'ЮВЕНТУС': 7}",20.02.2019 22:00,https://www.myscore.com.ua/match/CfbmOYo1/#match-summary,No,0,2,"{'Атлетико': 0, 'Ювентус': 0}","{'Атлетико': 2, 'Ювентус': 0}"
1,2,ЕВРОПА: Лига Европы - Плей-офф,Севилья - Лацио,"{'СЕВИЛЬЯ': 1, 'ЛАЦИО': 5}",20.02.2019 19:00,https://www.myscore.com.ua/match/zDio29o3/#match-summary,Yes,Севилья,2,"{'Севилья': 1, 'Лацио': 0}","{'Севилья': 2, 'Лацио': 0}"
2,2,ФРАНЦИЯ: Первая лига,Бордо - Генгам,"{'БОРДО': 3, 'ГЕНГАМ': 3}",20.02.2019 20:00,https://www.myscore.com.ua/match/21YNvbhE/#match-summary,No,0,0,"{'Бордо': 0, 'Генгам': 0}","{'Бордо': 0, 'Генгам': 0}"
4,2,АЗИЯ: Кубок АФК - Квалификация - плей-офф,Алай Ош (Кир) - Ахал (Тур),"{'АЛАЙ ОШ': 9, 'АХАЛ': 9}",20.02.2019 10:00,https://www.myscore.com.ua/match/IZ7pVedF/#match-summary,Yes,Алай Ош (Кир),3,"{'Алай Ош (Кир)': 1, 'Ахал (Тур)': 2}","{'Алай Ош (Кир)': 1, 'Ахал (Тур)': 2}"
6,2,АНГЛИЯ: Southern League South Division,Фарнборо - Met. Police,"{'ФАРНБОРО': 8, 'MET. POLICE': 6}",20.02.2019 21:45,https://www.myscore.com.ua/match/OjsEY5Lo/#match-summary,No,0,0,"{'Фарнборо': 0, 'Met. Police': 0}","{'Фарнборо': 0, 'Met. Police': 0}"
7,2,БОЛГАРИЯ: Первая лига,Локомотив Пловдив - Септември София,"{'ЛОКОМОТИВ ПЛОВДИВ': 4, 'СЕПТЕМВРИ СОФИЯ': 3}",20.02.2019 14:30,https://www.myscore.com.ua/match/jHJbpo62/#match-summary,Yes,Септември София,2,"{'Локомотив Пловдив': 0, 'Септември София': 1}","{'Локомотив Пловдив': 0, 'Септември София': 2}"
8,2,БОЛГАРИЯ: Первая лига,Витоша Бистрица - Левски,"{'ВИТОША БИСТРИЦА': 2, 'ЛЕВСКИ': 3}",20.02.2019 17:00,https://www.myscore.com.ua/match/lCuGL1T1/#match-summary,Yes,Левски,2,"{'Витоша Бистрица': 0, 'Левски': 2}","{'Витоша Бистрица': 0, 'Левски': 2}"
9,2,ИТАЛИЯ: Серия C - Группа C,Сиракуза - Витербезе,"{'СИРАКУЗА': 3, 'ВИТЕРБЕЗЕ': 4}",20.02.2019 15:30,https://www.myscore.com.ua/match/b1ihzfDb/#match-summary,Yes,Сиракуза,1,"{'Сиракуза': 1, 'Витербезе': 0}","{'Сиракуза': 1, 'Витербезе': 0}"
10,2,НИГЕРИЯ: НПФЛ,Эль Канеми - Хартленд,"{'ЭЛЬ КАНЕМИ': 3, 'ХАРТЛЕНД': 5}",20.02.2019 17:00,https://www.myscore.com.ua/match/AsUhBo1K/#match-summary,No,0,2,"{'Эль Канеми': 0, 'Хартленд': 0}","{'Эль Канеми': 2, 'Хартленд': 0}"
11,2,НИГЕРИЯ: НПФЛ,MFM FC - Саншайн Старс,"{'MFM FC': 4, 'САНШАЙН СТАРС': 4}",20.02.2019 17:00,https://www.myscore.com.ua/match/Uwo4jy6B/#match-summary,Yes,MFM FC,2,"{'MFM FC': 1, 'Саншайн Старс': 0}","{'MFM FC': 2, 'Саншайн Старс': 0}"
