id,country,team,strategy 2,strategy 1,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
1,ГЕРМАНИЯ: Северная региональная лига,Реден - Санкт-Паули II,"{'РЕДЕН': 4, 'САНКТ-ПАУЛИ II': 5}","{'РЕДЕН': 1.8, 'САНКТ-ПАУЛИ II': 1.67}",22.03.2019 20:00,https://www.myscore.com.ua/match/Y75EfW7k/#match-summary
2,ГЕРМАНИЯ: Северо-восточная региональная лига,Ауэрбах - Ратенов,"{'АУЭРБАХ': 6, 'РАТЕНОВ': 1}","{'АУЭРБАХ': 2.75, 'РАТЕНОВ': 0.5}",22.03.2019 20:00,https://www.myscore.com.ua/match/nXx1kTCI/#match-summary
3,ГЕРМАНИЯ: Западная региональная лига,Верль - Липпштадт,"{'ВЕРЛЬ': 7, 'ЛИППШТАДТ': 2}","{'ВЕРЛЬ': 0.75, 'ЛИППШТАДТ': 0.19}",22.03.2019 20:00,https://www.myscore.com.ua/match/61wZw7wn/#match-summary
4,МИР: Международные товарищеские матчи,Швейцария U21 - Хорватия U21,"{'ШВЕЙЦАРИЯ U21': 5, 'ХОРВАТИЯ U21': 7}","{'ШВЕЙЦАРИЯ U21': 3.17, 'ХОРВАТИЯ U21': 1.2}",22.03.2019 20:00,https://www.myscore.com.ua/match/GnNEryG5/#match-summary
5,МИР: Клубные товарищеские матчи,ЛАСК (Авт) - Аустрия Клагенфурт (Авт),"{'ЛАСК': 9, 'АУСТРИЯ КЛАГЕНФУРТ': 6}","{'ЛАСК': 1.1, 'АУСТРИЯ КЛАГЕНФУРТ': 4.5}",22.03.2019 16:00,https://www.myscore.com.ua/match/6VnzyJGJ/#match-summary
6,МИР: Клубные товарищеские матчи,Хартберг (Авт) - Хорн (Авт),"{'ХАРТБЕРГ': 1, 'ХОРН': 6}","{'ХАРТБЕРГ': 3.25, 'ХОРН': 1.58}",22.03.2019 16:00,https://www.myscore.com.ua/match/4Q8iCZwJ/#match-summary
7,МИР: Клубные товарищеские матчи,Аустрия II (Авт) - Санкт-Пёльтен (Авт),"{'АУСТРИЯ II': 5, 'САНКТ-ПЁЛЬТЕН': 3}","{'АУСТРИЯ II': 0.77, 'САНКТ-ПЁЛЬТЕН': 1.0}",22.03.2019 16:30,https://www.myscore.com.ua/match/p0EKXp0J/#match-summary
8,МИР: Клубные товарищеские матчи,Арминия (Гер) - Ганновер (Гер),"{'АРМИНИЯ': 4, 'ГАННОВЕР': 3}","{'АРМИНИЯ': 0.75, 'ГАННОВЕР': 1.38}",22.03.2019 19:00,https://www.myscore.com.ua/match/ru6k5Kxs/#match-summary
9,МИР: Клубные товарищеские матчи,Волеренга (Нор) - Лиллестрём (Нор),"{'ВОЛЕРЕНГА': 6, 'ЛИЛЛЕСТРЁМ': 7}","{'ВОЛЕРЕНГА': 2, 'ЛИЛЛЕСТРЁМ': 2}",22.03.2019 19:15,https://www.myscore.com.ua/match/tvM7zbFs/#match-summary
10,ПЕРУ: Liga 1 - Апертура,Гарсиласо - Бинасьональ,"{'ГАРСИЛАСО': 6, 'БИНАСЬОНАЛЬ': 5}","{'ГАРСИЛАСО': 2.17, 'БИНАСЬОНАЛЬ': 1.67}",22.03.2019 22:30,https://www.myscore.com.ua/match/2RXPT0E5/#match-summary
11,УКРАИНА: Первая лигa,Николаев - Ингулец,"{'НИКОЛАЕВ': 4, 'ИНГУЛЕЦ': 6}","{'НИКОЛАЕВ': 1.67, 'ИНГУЛЕЦ': 3.25}",22.03.2019 14:00,https://www.myscore.com.ua/match/GhE3TJ7G/#match-summary
12,УЭЛЬС: Премьер-лига - Группа вылета,Лландудно - Эберистуит Таун,"{'ЛЛАНДУДНО': 4, 'ЭБЕРИСТУИТ ТАУН': 6}","{'ЛЛАНДУДНО': 1.13, 'ЭБЕРИСТУИТ ТАУН': 0.48}",22.03.2019 21:45,https://www.myscore.com.ua/match/Gdre4Zyn/#match-summary
