1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,1,2,8,19,34,29,34,48,45,43,33,17,11,7,2,2,0,0
0,0,0,2,7,10,26,19,25,32,38,29,22,12,8,4,1,1,0,0
0,0,1,0,1,9,8,10,9,16,7,14,11,5,3,3,1,1,0,0
,,,,,52,76,65,73,66,84,67,66,70,72,57,,,,
