id,strategy,country,team,point,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
0,2,ГЕРМАНИЯ: Бундеслига,Вольфсбург - Майнц,"{'ВОЛЬФСБУРГ': 6, 'МАЙНЦ': 9}",16.02.2019 16:30,https://www.myscore.com.ua/match/xn5cLTEb/#match-summary,Yes,Вольфсбург,3,"{'Вольфсбург': 1, 'Майнц': 0}","{'Вольфсбург': 3, 'Майнц': 0}"
1,2,ГЕРМАНИЯ: Бундеслига,Шальке - Фрайбург,"{'ШАЛЬКЕ': 7, 'ФРАЙБУРГ': 6}",16.02.2019 16:30,https://www.myscore.com.ua/match/00vT5lFB/#match-summary,No,0,0,"{'Шальке': 0, 'Фрайбург': 0}","{'Шальке': 0, 'Фрайбург': 0}"
2,2,ГЕРМАНИЯ: Бундеслига,Герта - Вердер,"{'ГЕРТА': 8, 'ВЕРДЕР': 7}",16.02.2019 19:30,https://www.myscore.com.ua/match/4Y6kNkpn/#match-summary,Yes,Герта,2,"{'Герта': 1, 'Вердер': 0}","{'Герта': 1, 'Вердер': 0}"
3,2,ИСПАНИЯ: Примера,Райо Вальекано - Атлетико,"{'РАЙО ВАЛЬЕКАНО': 5, 'АТЛЕТИКО': 7}",16.02.2019 17:15,https://www.myscore.com.ua/match/ENjT7jK8/#match-summary,No,0,1,"{'Райо Вальекано': 0, 'Атлетико': 0}","{'Райо Вальекано': 0, 'Атлетико': 1}"
4,2,ФРАНЦИЯ: Первая лига,Монако - Нант,"{'МОНАКО': 7, 'НАНТ': 3}",16.02.2019 21:00,https://www.myscore.com.ua/match/bZjTuaf5/#match-summary,Yes,Монако,1,"{'Монако': 1, 'Нант': 0}","{'Монако': 1, 'Нант': 0}"
5,2,АВСТРИЯ: Кубок Австрии,ЛАСК - Санкт-Пёльтен,"{'ЛАСК': 9, 'САНКТ-ПЁЛЬТЕН': 4}",16.02.2019 13:00,https://www.myscore.com.ua/match/tKZ4RYPr/#match-summary,Yes,ЛАСК,6,"{'ЛАСК': 4, 'Санкт-Пёльтен': 0}","{'ЛАСК': 6, 'Санкт-Пёльтен': 0}"
6,2,АНГЛИЯ: Первая лига,Саутенд Юнайтед - Портсмут,"{'САУТЕНД ЮНАЙТЕД': 4, 'ПОРТСМУТ': 1}",16.02.2019 14:30,https://www.myscore.com.ua/match/tWeuARBb/#match-summary,Yes,Саутенд Юнайтед,6,"{'Саутенд Юнайтед': 1, 'Портсмут': 3}","{'Саутенд Юнайтед': 3, 'Портсмут': 3}"
7,2,АНГЛИЯ: Первая лига,Ковентри Сити - Уоллсол,"{'КОВЕНТРИ СИТИ': 2, 'УОЛЛСОЛ': 5}",16.02.2019 17:00,https://www.myscore.com.ua/match/fZZ9fnCB/#match-summary,Yes,Ковентри Сити,3,"{'Ковентри Сити': 2, 'Уоллсол': 0}","{'Ковентри Сити': 3, 'Уоллсол': 0}"
8,2,АНГЛИЯ: Вторая лига,Гримсби - Челтенхэм,"{'ГРИМСБИ': 4, 'ЧЕЛТЕНХЭМ': 3}",16.02.2019 17:00,https://www.myscore.com.ua/match/UuMJZwMn/#match-summary,Yes,Гримсби,1,"{'Гримсби': 1, 'Челтенхэм': 0}","{'Гримсби': 1, 'Челтенхэм': 0}"
9,2,АНГЛИЯ: Вторая лига,Карлайл Юнайтед - Милтон Кинс,"{'КАРЛАЙЛ ЮНАЙТЕД': 6, 'МИЛТОН КИНС': 5}",16.02.2019 17:00,https://www.myscore.com.ua/match/dhi5GGLO/#match-summary,Yes,Карлайл Юнайтед,5,"{'Карлайл Юнайтед': 1, 'Милтон Кинс': 1}","{'Карлайл Юнайтед': 1, 'Милтон Кинс': 3}"
10,2,АНГЛИЯ: Вторая лига,Линкольн - Стивенейдж,"{'ЛИНКОЛЬН': 7, 'СТИВЕНЕЙДЖ': 4}",16.02.2019 17:00,https://www.myscore.com.ua/match/8WKNYcyg/#match-summary,No,0,4,"{'Линкольн': 0, 'Стивенейдж': 0}","{'Линкольн': 2, 'Стивенейдж': 1}"
11,2,АНГЛИЯ: Национальная лига,Борхэм Вуд - Хартлпул Юнайтед,"{'БОРХЭМ ВУД': 3, 'ХАРТЛПУЛ ЮНАЙТЕД': 5}",16.02.2019 17:00,https://www.myscore.com.ua/match/rJEaXdd2/#match-summary,Yes,Хартлпул Юнайтед,4,"{'Борхэм Вуд': 0, 'Хартлпул Юнайтед': 1}","{'Борхэм Вуд': 0, 'Хартлпул Юнайтед': 4}"
12,2,АНГЛИЯ: Национальная лига,Бромли - Мэйдстоун,"{'БРОМЛИ': 6, 'МЭЙДСТОУН': 6}",16.02.2019 17:00,https://www.myscore.com.ua/match/niuttk02/#match-summary,Yes,Бромли,2,"{'Бромли': 1, 'Мэйдстоун': 0}","{'Бромли': 1, 'Мэйдстоун': 0}"
13,2,АНГЛИЯ: Национальная лига,Солихалл - Барнет,"{'СОЛИХАЛЛ': 6, 'БАРНЕТ': 4}",16.02.2019 17:00,https://www.myscore.com.ua/match/j7WVV4xe/#match-summary,Yes,Барнет,4,"{'Солихалл': 0, 'Барнет': 1}","{'Солихалл': 1, 'Барнет': 2}"
14,2,АНГЛИЯ: Национальная лига,Харрогейт - Эббсфлит Юнайтед,"{'ХАРРОГЕЙТ': 8, 'ЭББСФЛИТ ЮНАЙТЕД': 5}",16.02.2019 17:00,https://www.myscore.com.ua/match/tYtdx7aR/#match-summary,Yes,Эббсфлит Юнайтед,3,"{'Харрогейт': 0, 'Эббсфлит Юнайтед': 1}","{'Харрогейт': 1, 'Эббсфлит Юнайтед': 2}"
15,2,АНГЛИЯ: Национальная лига Север,Алтринчем - Брэдфорд Парк Авеню,"{'АЛТРИНЧЕМ': 4, 'БРЭДФОРД ПАРК АВЕНЮ': 4}",16.02.2019 17:00,https://www.myscore.com.ua/match/G0tk0zoJ/#match-summary,Yes,Алтринчем,2,"{'Алтринчем': 1, 'Брэдфорд Парк Авеню': 0}","{'Алтринчем': 1, 'Брэдфорд Парк Авеню': 1}"
16,2,АНГЛИЯ: Национальная лига Север,Киддерминстер - Йорк Сити,"{'КИДДЕРМИНСТЕР': 5, 'ЙОРК СИТИ': 6}",16.02.2019 17:00,https://www.myscore.com.ua/match/nsQ8GeVa/#match-summary,Yes,Йорк Сити,3,"{'Киддерминстер': 0, 'Йорк Сити': 1}","{'Киддерминстер': 1, 'Йорк Сити': 2}"
17,2,АНГЛИЯ: Национальная лига Север,Нюнеатон - Спеннимур,"{'НЮНЕАТОН': 6, 'СПЕННИМУР': 4}",16.02.2019 17:00,https://www.myscore.com.ua/match/f7TGEZaC/#match-summary,No,0,2,"{'Нюнеатон': 0, 'Спеннимур': 0}","{'Нюнеатон': 0, 'Спеннимур': 2}"
18,2,АНГЛИЯ: Национальная лига Север,Стокпорт Каунти - Телфорд,"{'СТОКПОРТ КАУНТИ': 9, 'ТЕЛФОРД': 7}",16.02.2019 17:00,https://www.myscore.com.ua/match/xWILDgFI/#match-summary,Yes,Стокпорт Каунти,5,"{'Стокпорт Каунти': 1, 'Телфорд': 1}","{'Стокпорт Каунти': 3, 'Телфорд': 2}"
19,2,АНГЛИЯ: Национальная лига Север,FC United - Гуисли,"{'FC UNITED': 6, 'ГУИСЛИ': 5}",16.02.2019 17:00,https://www.myscore.com.ua/match/8jR4HyGg/#match-summary,Yes,FC United,6,"{'FC United': 1, 'Гуисли': 2}","{'FC United': 3, 'Гуисли': 3}"
20,2,АНГЛИЯ: Национальная лига Север,Эштон Юнайтед - Херефорд,"{'ЭШТОН ЮНАЙТЕД': 2, 'ХЕРЕФОРД': 5}",16.02.2019 17:00,https://www.myscore.com.ua/match/I5KXOJNJ/#match-summary,No,0,0,"{'Эштон Юнайтед': 0, 'Херефорд': 0}","{'Эштон Юнайтед': 0, 'Херефорд': 0}"
