id,strategy,country,team,point,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
1,2,АНГЛИЯ: NPL Premier Division,Микловер - Хайд,"{'МИКЛОВЕР': 2, 'ХАЙД': 5}",16.02.2019 17:00,https://www.myscore.com.ua/match/Ona87Mr1/#match-summary,,,,,
2,2,АНГЛИЯ: NPL Premier Division,Саут Шилдс - Уоррингтон,"{'САУТ ШИЛДС': 7, 'УОРРИНГТОН': 5}",16.02.2019 17:00,https://www.myscore.com.ua/match/WC2G50DD/#match-summary,,,,,
3,2,АНГЛИЯ: NPL Premier Division,Стаффорд Рейнджерз - Бамбер Бридж,"{'СТАФФОРД РЕЙНДЖЕРЗ': 9, 'БАМБЕР БРИДЖ': 4}",16.02.2019 17:00,https://www.myscore.com.ua/match/YHtaUqjE/#match-summary,,,,,
4,2,АНГЛИЯ: NPL Premier Division,Уитби - Грэнтхэм,"{'УИТБИ': 6, 'ГРЭНТХЭМ': 4}",16.02.2019 17:00,https://www.myscore.com.ua/match/php3T35K/#match-summary,,,,,
5,2,АНГЛИЯ: NPL Premier Division,Уиттон - Норт Ферриби,"{'УИТТОН': 4, 'НОРТ ФЕРРИБИ': 3}",16.02.2019 17:00,https://www.myscore.com.ua/match/vFq7SNKQ/#match-summary,,,,,
6,2,АНГЛИЯ: NPL Premier Division,Уоркингтон - Бэсфорд,"{'УОРКИНГТОН': 4, 'БЭСФОРД': 6}",16.02.2019 17:00,https://www.myscore.com.ua/match/tOVYNsTs/#match-summary,,,,,
7,2,АНГЛИЯ: NPL Premier Division,Хэднесфорд - Марин,"{'ХЭДНЕСФОРД': 6, 'МАРИН': 5}",16.02.2019 17:00,https://www.myscore.com.ua/match/lU6eAObr/#match-summary,,,,,
8,2,БЕЛЬГИЯ: Высшая лига,Остенде - Эйпен,"{'ОСТЕНДЕ': 5, 'ЭЙПЕН': 5}",16.02.2019 21:00,https://www.myscore.com.ua/match/j5Fu76TH/#match-summary,,,,,
9,2,БЕЛЬГИЯ: Высшая лига,Васланд-Беверен - Гент,"{'ВАСЛАНД-БЕВЕРЕН': 5, 'ГЕНТ': 7}",16.02.2019 21:30,https://www.myscore.com.ua/match/OhpfQTTu/#match-summary,,,,,
10,2,ВЕНГРИЯ: Высшая лига,МТК Будапешт - МОЛ Види,"{'МТК БУДАПЕШТ': 5, 'МОЛ ВИДИ': 6}",16.02.2019 20:30,https://www.myscore.com.ua/match/bJWzJSEM/#match-summary,,,,,
11,2,ГЕРМАНИЯ: Вторая Бундеслига,Санкт-Паули - Эрцгебирге Ауэ,"{'САНКТ-ПАУЛИ': 9, 'ЭРЦГЕБИРГЕ АУЭ': 6}",16.02.2019 14:00,https://www.myscore.com.ua/match/Ctwk613H/#match-summary,,,,,
12,2,ГЕРМАНИЯ: Вторая Бундеслига,Хайденхайм - Гамбург,"{'ХАЙДЕНХАЙМ': 7, 'ГАМБУРГ': 4}",16.02.2019 14:00,https://www.myscore.com.ua/match/jXyg5LIN/#match-summary,,,,,
13,2,ГЕРМАНИЯ: Третья лига,Меппен - Энерги,"{'МЕППЕН': 4, 'ЭНЕРГИ': 2}",16.02.2019 15:00,https://www.myscore.com.ua/match/nHMbdvAI/#match-summary,,,,,
