id,strategy,country,team,point,time,link,goal in first time,team that scored,Both scored,result in first time,result in all time
0,2,ЕВРОПА: Лига чемпионов - Плей-офф,Ливерпуль - Бавария,"{'ЛИВЕРПУЛЬ': 6, 'БАВАРИЯ': 7}",19.02.2019 22:00,https://www.myscore.com.ua/match/biGEvfWs/#match-summary,No,0,0,"{'Ливерпуль': 0, 'Бавария': 0}","{'Ливерпуль': 0, 'Бавария': 0}"
1,2,АНГЛИЯ: Первая лига,Рочдейл - Уимблдон,"{'РОЧДЕЙЛ': 3, 'УИМБЛДОН': 4}",19.02.2019 21:45,https://www.myscore.com.ua/match/p42WBmsn/#match-summary,Yes,Рочдейл,7,"{'Рочдейл': 2, 'Уимблдон': 1}","{'Рочдейл': 3, 'Уимблдон': 3}"
2,2,АНГЛИЯ: Национальная лига,Борхэм Вуд - Рексхем,"{'БОРХЭМ ВУД': 2, 'РЕКСХЕМ': 1}",19.02.2019 21:45,https://www.myscore.com.ua/match/nglD52Pr/#match-summary,No,0,2,"{'Борхэм Вуд': 0, 'Рексхем': 0}","{'Борхэм Вуд': 0, 'Рексхем': 2}"
3,2,АНГЛИЯ: Национальная лига,Саттон Юнайтед - Барнет,"{'САТТОН ЮНАЙТЕД': 5, 'БАРНЕТ': 4}",19.02.2019 21:45,https://www.myscore.com.ua/match/zsoiAsIt/#match-summary,No,0,0,"{'Саттон Юнайтед': 0, 'Барнет': 0}","{'Саттон Юнайтед': 0, 'Барнет': 0}"
4,2,АНГЛИЯ: Национальная лига,Эббсфлит Юнайтед - Хартлпул Юнайтед,"{'ЭББСФЛИТ ЮНАЙТЕД': 6, 'ХАРТЛПУЛ ЮНАЙТЕД': 6}",19.02.2019 21:45,https://www.myscore.com.ua/match/WbiYU3z4/#match-summary,No,0,0,"{'Эббсфлит Юнайтед': 0, 'Хартлпул Юнайтед': 0}","{'Эббсфлит Юнайтед': 0, 'Хартлпул Юнайтед': 0}"
5,2,АНГЛИЯ: Национальная лига Север,Алтринчем - Спеннимур,"{'АЛТРИНЧЕМ': 5, 'СПЕННИМУР': 4}",19.02.2019 21:45,https://www.myscore.com.ua/match/vwEKlntj/#match-summary,Yes,Спеннимур,2,"{'Алтринчем': 0, 'Спеннимур': 1}","{'Алтринчем': 0, 'Спеннимур': 2}"
6,2,АНГЛИЯ: Национальная лига Юг,Уокинг - Хемел Хэмпстед,"{'УОКИНГ': 7, 'ХЕМЕЛ ХЭМПСТЕД': 7}",19.02.2019 21:45,https://www.myscore.com.ua/match/EDcmEzv5/#match-summary,Yes,Уокинг,4,"{'Уокинг': 2, 'Хемел Хэмпстед': 0}","{'Уокинг': 3, 'Хемел Хэмпстед': 1}"
7,2,АНГЛИЯ: NPL Premier Division,Уоркингтон - Уиттон,"{'УОРКИНГТОН': 4, 'УИТТОН': 5}",19.02.2019 21:45,https://www.myscore.com.ua/match/p42keOIc/#match-summary,No,0,2,"{'Уоркингтон': 0, 'Уиттон': 0}","{'Уоркингтон': 0, 'Уиттон': 2}"
8,2,АНГЛИЯ: Southern League South Division,Хартли Уинтни - Уолтон Кэйжалс,"{'ХАРТЛИ УИНТНИ': 6, 'УОЛТОН КЭЙЖАЛС': 7}",19.02.2019 21:30,https://www.myscore.com.ua/match/WxOkVut4/#match-summary,Yes,Хартли Уинтни,7,"{'Хартли Уинтни': 2, 'Уолтон Кэйжалс': 2}","{'Хартли Уинтни': 3, 'Уолтон Кэйжалс': 4}"
9,2,АНГЛИЯ: Southern League South Division,Кингс Лэнгли - Салисбери Сити,"{'КИНГС ЛЭНГЛИ': 5, 'САЛИСБЕРИ СИТИ': 7}",19.02.2019 21:45,https://www.myscore.com.ua/match/Y75WiZ49/#match-summary,No,0,2,"{'Кингс Лэнгли': 0, 'Салисбери Сити': 0}","{'Кингс Лэнгли': 1, 'Салисбери Сити': 0}"
10,2,АНГЛИЯ: Southern League South Division,Стейнс - Тивертон,"{'СТЕЙНС': 3, 'ТИВЕРТОН': 4}",19.02.2019 21:45,https://www.myscore.com.ua/match/dISfCF4q/#match-summary,Yes,Стейнс,6,"{'Стейнс': 2, 'Тивертон': 1}","{'Стейнс': 2, 'Тивертон': 4}"
11,2,АНГЛИЯ: Лига профессионального развития,Шеффилд Юнайтед U23 - Шеффилд Уэнсдей U23,"{'ШЕФФИЛД ЮНАЙТЕД U23': 5, 'ШЕФФИЛД УЭНСДЕЙ U23': 5}",19.02.2019 21:00,https://www.myscore.com.ua/match/2aFgWqwQ/#match-summary,Yes,Шеффилд Уэнсдей U23,2,"{'Шеффилд Юнайтед U23': 0, 'Шеффилд Уэнсдей U23': 1}","{'Шеффилд Юнайтед U23': 0, 'Шеффилд Уэнсдей U23': 2}"
12,2,БОЛГАРИЯ: Первая лига,Славия София - Черно Море,"{'СЛАВИЯ СОФИЯ': 2, 'ЧЕРНО МОРЕ': 7}",19.02.2019 12:30,https://www.myscore.com.ua/match/d4N8NNbk/#match-summary,Yes,Славия София,5,"{'Славия София': 1, 'Черно Море': 2}","{'Славия София': 2, 'Черно Море': 2}"
13,2,БОЛГАРИЯ: Первая лига,ЦСКА София - Ботев Враца,"{'ЦСКА СОФИЯ': 4, 'БОТЕВ ВРАЦА': 2}",19.02.2019 17:30,https://www.myscore.com.ua/match/jRMCMsEe/#match-summary,No,0,3,"{'ЦСКА София': 0, 'Ботев Враца': 0}","{'ЦСКА София': 2, 'Ботев Враца': 1}"
14,2,ЕГИПЕТ: Премьер-лига,Эль-Гуна - Pyramids,"{'ЭЛЬ-ГУНА': 6, 'PYRAMIDS': 6}",19.02.2019 16:00,https://www.myscore.com.ua/match/YFZ03oY0/#match-summary,No,0,3,"{'Эль-Гуна': 0, 'Pyramids': 0}","{'Эль-Гуна': 2, 'Pyramids': 1}"
15,2,НИДЕРЛАНДЫ: Reserve League - Этап победителей,Йонг Хераклес - Йонг Твенте,"{'ЙОНГ ХЕРАКЛЕС': 8, 'ЙОНГ ТВЕНТЕ': 6}",19.02.2019 15:00,https://www.myscore.com.ua/match/Yqu4Ky48/#match-summary,No,0,2,"{'Йонг Хераклес': 0, 'Йонг Твенте': 0}","{'Йонг Хераклес': 1, 'Йонг Твенте': 0}"
16,2,ШОТЛАНДИЯ: Вторая лига,Кауденбит - А. Роверс,"{'КАУДЕНБИТ': 5, 'А. РОВЕРС': 3}",19.02.2019 21:45,https://www.myscore.com.ua/match/dd9nbHgf/#match-summary,No,0,1,"{'Кауденбит': 0, 'А. Роверс': 0}","{'Кауденбит': 1, 'А. Роверс': 0}"
17,2,ШОТЛАНДИЯ: Кубок ФА,Инвернесс - Росс Каунти,"{'ИНВЕРНЕСС': 6, 'РОСС КАУНТИ': 5}",19.02.2019 21:45,https://www.myscore.com.ua/match/t4yjRhrH/#match-summary,Yes,Инвернесс,13,"{'Инвернесс': 5, 'Росс Каунти': 5}","{'Инвернесс': 7, 'Росс Каунти': 6}"
